event,found,delta_s,delta_w,n_hits,reason
4893.0,False,,,22,no valid outer-layer seed pairs
4896.0,False,,,25,no valid outer-layer seed pairs
4921.0,False,,,23,no valid outer-layer seed pairs
4940.0,False,,,24,no exact8 plane survived
4953.0,False,,,23,no valid outer-layer seed pairs
4960.0,False,,,24,no valid outer-layer seed pairs
4961.0,False,,,22,no valid outer-layer seed pairs
4975.0,False,,,23,no valid outer-layer seed pairs
4989.0,False,,,23,no valid outer-layer seed pairs
4991.0,False,,,25,no exact8 plane survived
4992.0,False,,,22,no valid outer-layer seed pairs
4994.0,False,,,24,no valid outer-layer seed pairs
5010.0,False,,,22,no valid outer-layer seed pairs
5021.0,False,,,27,no exact8 plane survived
5037.0,False,,,24,no valid outer-layer seed pairs
5060.0,False,,,24,no valid outer-layer seed pairs
5061.0,False,,,27,no valid outer-layer seed pairs
5079.0,False,,,22,no valid outer-layer seed pairs
5084.0,False,,,21,no valid outer-layer seed pairs
5173.0,False,,,25,no valid outer-layer seed pairs
5200.0,False,,,28,no valid outer-layer seed pairs
5204.0,False,,,25,no valid outer-layer seed pairs
5207.0,False,,,25,no valid outer-layer seed pairs
5227.0,False,,,26,no valid outer-layer seed pairs
5242.0,False,,,23,no valid outer-layer seed pairs
5270.0,False,,,25,no valid outer-layer seed pairs
5271.0,False,,,19,no valid outer-layer seed pairs
5273.0,False,,,23,no valid outer-layer seed pairs
5302.0,False,,,26,no exact8 plane survived
5328.0,False,,,26,no valid outer-layer seed pairs
5347.0,True,0.012834524940133896,3.812016497458371,24,
5363.0,False,,,27,no valid outer-layer seed pairs
5370.0,False,,,23,no valid outer-layer seed pairs
5381.0,False,,,24,no exact8 plane survived
5382.0,False,,,34,no valid outer-layer seed pairs
5397.0,False,,,23,no exact8 plane survived
5400.0,False,,,23,no exact8 plane survived
5401.0,False,,,27,no valid outer-layer seed pairs
5419.0,False,,,26,no valid outer-layer seed pairs
5421.0,False,,,23,no valid outer-layer seed pairs
5423.0,False,,,21,no valid outer-layer seed pairs
5428.0,True,0.0003664883502921082,1.5494421623255805,23,
