event,final_ds_mm,final_dw_mm,n_hits
5833.0,0.08465253060234482,3.134522324941086,15
5850.0,0.20599144240945794,4.014306626879765,14
5876.0,0.15467828619494364,4.298540747360669,14
5898.0,0.11643417966692754,3.505141612024926,13
5916.0,0.21604518752110818,3.2601893320286366,14
5919.0,0.16974643412149173,4.512484224000326,12
5933.0,0.1526004812417181,2.197842691634681,13
5939.0,0.2069413333304764,3.8398757051421857,13
5942.0,0.14273859377959916,4.611337152256268,13
5956.0,0.18689931410686536,1.0002998042327844,14
5974.0,0.18974280176040914,5.174819649705205,13
5997.0,0.15847037698945493,4.486778070320229,13
6053.0,0.20569181693080676,1.754527134701598,15
6056.0,0.23552362647439185,3.035314595833486,14
6057.0,0.17829111887457103,3.927175104040485,13
6077.0,0.19110720966132178,2.7552447260531743,12
6099.0,0.2571246006265223,2.680426812859915,13
6114.0,0.150119881347284,1.1283021061661298,12
6150.0,0.19302206750880646,2.9193563962103037,14
6177.0,0.20317077733532524,3.273244352532358,16
6181.0,0.18124948610031674,3.8109134325168634,16
6242.0,0.2043700566068663,3.081777231040879,15
6246.0,0.1512170772195998,2.6469687754810303,13
6248.0,0.20264141459792195,3.4398669642216833,16
6256.0,0.14864044699352452,2.56718182871296,15
6300.0,0.13600589693939213,3.842997201569278,15
6371.0,0.19356364377179394,2.5273892972778125,16
6417.0,0.23376746236881313,4.373592885028451,14
6426.0,0.24820404632875015,3.3486332167925745,14
6427.0,0.1568777156532946,3.3290758911093894,15
6432.0,0.17560599209643002,2.4895652105569703,15
6435.0,0.10237525872520957,2.2997040916298506,15
6446.0,0.16336739727372046,4.378831321127536,13
6473.0,0.18849816714188566,0.612244976394089,14
6488.0,0.13378811251913297,4.574024275895103,13
6503.0,0.2223109193045989,3.585405578809988,15
6524.0,0.15472123110427635,4.1522505414179935,15
6526.0,0.10745964717224069,1.8153774588424052,12
6530.0,0.24861910503649187,4.932120988117606,15
6539.0,0.19169239313219585,4.3591239819219165,14
6547.0,0.1109088831798453,1.6536741563723545,12
6550.0,0.18165273859014805,3.9588251321315613,15
6552.0,0.12522791132351987,2.1754564397680327,16
6564.0,0.15898423827155814,4.679781889530433,14
6578.0,0.24227674875686275,1.5433568426590645,13
6581.0,0.16722635224627933,4.893291115680469,13
6606.0,0.19960631305356077,3.8544944094990323,15
6615.0,0.1383755480511362,3.8675652413234873,12
6625.0,0.2108562293764907,4.680276862267757,15
6627.0,0.17581080813531177,3.355522810030907,15
6665.0,0.14644873882931306,1.0918937132302817,12
6687.0,0.17961428260711404,4.723510853467076,16
6711.0,0.28859430025921096,3.1893885140270464,13
6714.0,0.1596607122907668,3.8517948648206244,15
6718.0,0.21663743372434507,4.786714462030855,14
6723.0,0.16979557872589013,2.675356227793399,13
6732.0,0.19917026015316128,4.827341404235843,15
6772.0,0.1858009600882462,1.4172192272100768,15
6782.0,0.2303175158031361,3.5440410962968665,12
6784.0,0.14299145970624505,4.584912431933096,13
6791.0,0.22926580122924523,3.167538723566211,14
6795.0,0.24705227114233577,4.286165585845125,15
6802.0,0.197401992530255,2.411404582610601,15
6811.0,0.25242404731319507,3.970688463173881,15
6838.0,0.19881744665729617,4.445695771336119,14
6855.0,0.20022935381818707,4.070594049552336,15
6865.0,0.16584109009636627,4.710755227045894,13
6899.0,0.002732869974020231,8.340817789380056,4
6907.0,0.20024795585255528,1.1118384332009863,12
6928.0,0.1755346435659469,3.338380803495926,12
6940.0,0.25497909014101755,4.59921740585155,13
6950.0,0.16492612162322978,2.0912043407825784,16
6967.0,0.22559434787458763,4.075789300458641,13
6985.0,0.24764348624873045,2.170816182187417,16
6988.0,0.21036373555929413,4.621981618513919,13
6993.0,0.2429459247662581,4.941956968904841,16
6996.0,0.21630583146837234,0.6844053595410611,13
7009.0,0.23623824651277384,2.173994527570272,15
7031.0,0.2057573977558725,2.8599877722606624,15
7039.0,0.1310179504506887,4.871064174360005,15
7046.0,0.22630910365042425,3.838720527139475,15
7061.0,0.14861115038992356,4.11112443959943,14
7074.0,0.20307775625107916,3.7376489599914775,13
7109.0,0.1767524468772935,2.2608285102095063,16
7114.0,0.19676425910139486,1.3966176921550653,14
7138.0,0.23939045224744282,5.016542732175287,13
7140.0,0.20005087951291958,3.181777666423655,16
7155.0,0.18175788784445984,4.270685526639187,15
7157.0,0.1713194278315037,4.2907188666484215,15
7217.0,0.09134609747442965,3.2045933908576014,14
7243.0,0.21140744536040681,4.979295396299511,13
7258.0,0.20281315454023774,1.277482102386416,12
7290.0,0.25956927064372287,2.982520042225177,14
7297.0,0.15222469492720866,2.9221615135970005,15
