event,mu,pre_found,post_found,pre_ds,post_ds,pre_dw,post_dw,hits_pre,hits_post,merged_away,merge_transition
2083,10,False,False,,,,,1945,1944,1,0->0
2083,20,False,False,,,,,3443,3440,3,0->0
8082,0,False,False,,,,,16,14,2,0->0
8082,5,False,False,,,,,675,673,2,0->0
8082,10,False,False,,,,,1612,1610,2,0->0
8082,20,False,False,,,,,2859,2856,3,0->0
1011,0,False,False,,,,,16,13,3,0->0
1011,5,False,False,,,,,359,356,3,0->0
1011,10,False,False,,,,,1794,1790,4,0->0
1011,20,False,False,,,,,3361,3358,3,0->0
4901,0,False,False,,,,,16,15,1,0->0
4901,5,False,False,,,,,841,840,1,0->0
4901,10,False,False,,,,,821,820,1,0->0
4901,20,False,False,,,,,2596,2595,1,0->0
8699,0,False,False,,,,,16,15,1,0->0
8699,5,False,False,,,,,976,975,1,0->0
8699,10,False,False,,,,,1581,1580,1,0->0
8699,20,False,False,,,,,3723,3720,3,0->0
3776,0,False,False,,,,,16,15,1,0->0
3776,5,False,False,,,,,1013,1011,2,0->0
3776,10,False,False,,,,,1217,1216,1,0->0
3776,20,False,False,,,,,2769,2768,1,0->0
5353,0,False,False,,,,,16,15,1,0->0
5353,5,False,False,,,,,941,940,1,0->0
5353,10,False,False,,,,,1325,1324,1,0->0
5353,20,False,False,,,,,1726,1724,2,0->0
2837,0,False,False,,,,,16,14,2,0->0
2837,5,False,False,,,,,926,924,2,0->0
2837,10,False,False,,,,,1285,1283,2,0->0
2837,20,False,False,,,,,2501,2499,2,0->0
4348,0,False,False,,,,,16,15,1,0->0
4348,5,False,False,,,,,403,402,1,0->0
4348,10,False,False,,,,,1572,1571,1,0->0
4348,20,False,False,,,,,3706,3705,1,0->0
3406,0,False,False,,,,,16,15,1,0->0
3406,5,False,False,,,,,1089,1088,1,0->0
3406,10,False,False,,,,,1316,1315,1,0->0
3406,20,False,False,,,,,3383,3381,2,0->0
3803,0,False,False,,,,,16,15,1,0->0
3803,5,False,False,,,,,779,778,1,0->0
3803,10,False,False,,,,,932,931,1,0->0
3803,20,False,False,,,,,2494,2492,2,0->0
2428,0,False,False,,,,,16,15,1,0->0
2428,5,False,False,,,,,367,366,1,0->0
2428,10,False,False,,,,,1898,1897,1,0->0
2428,20,False,False,,,,,4640,4636,4,0->0
2515,0,False,False,,,,,16,15,1,0->0
2515,5,False,False,,,,,709,708,1,0->0
2515,10,False,False,,,,,903,902,1,0->0
2515,20,False,False,,,,,3773,3770,3,0->0
6041,0,False,False,,,,,16,14,2,0->0
6041,5,False,False,,,,,826,824,2,0->0
6041,10,False,False,,,,,1799,1796,3,0->0
6041,20,False,False,,,,,4772,4769,3,0->0
4877,0,False,False,,,,,16,15,1,0->0
4877,5,False,False,,,,,801,800,1,0->0
4877,10,False,False,,,,,1366,1365,1,0->0
4877,20,False,False,,,,,3279,3278,1,0->0
8739,0,False,False,,,,,16,15,1,0->0
8739,5,False,False,,,,,507,506,1,0->0
8739,10,False,False,,,,,922,921,1,0->0
8739,20,False,False,,,,,3429,3427,2,0->0
1497,0,False,False,,,,,16,14,2,0->0
1497,5,False,False,,,,,1185,1183,2,0->0
1497,10,False,False,,,,,2041,2039,2,0->0
1497,20,False,False,,,,,3912,3908,4,0->0
8313,0,False,False,,,,,16,14,2,0->0
8313,5,False,False,,,,,1038,1036,2,0->0
8313,10,False,False,,,,,1602,1600,2,0->0
8313,20,False,False,,,,,2516,2514,2,0->0
1151,0,False,False,,,,,16,15,1,0->0
1151,5,False,False,,,,,689,688,1,0->0
1151,10,False,False,,,,,1335,1334,1,0->0
1151,20,False,False,,,,,3822,3820,2,0->0
1741,0,False,False,,,,,16,15,1,0->0
1741,5,False,False,,,,,1175,1174,1,0->0
1741,10,False,False,,,,,1828,1826,2,0->0
1741,20,False,False,,,,,2522,2521,1,0->0
7034,0,False,False,,,,,16,15,1,0->0
7034,5,False,False,,,,,1379,1378,1,0->0
7034,10,False,False,,,,,1280,1279,1,0->0
7034,20,False,False,,,,,2499,2498,1,0->0
9633,0,False,False,,,,,16,15,1,0->0
9633,5,False,False,,,,,623,622,1,0->0
9633,10,False,False,,,,,1531,1530,1,0->0
9633,20,False,False,,,,,2444,2443,1,0->0
4930,0,False,False,,,,,16,15,1,0->0
4930,5,False,False,,,,,1154,1153,1,0->0
4930,10,False,False,,,,,2364,2363,1,0->0
4930,20,False,False,,,,,3617,3615,2,0->0
8221,0,False,False,,,,,16,14,2,0->0
8221,5,False,False,,,,,853,851,2,0->0
8221,10,False,False,,,,,2201,2199,2,0->0
8221,20,False,False,,,,,2716,2714,2,0->0
4736,0,False,False,,,,,16,14,2,0->0
