event,found,delta_s,delta_w,n_hits
6767.0,False,,,30
6780.0,False,,,29
6787.0,False,,,21
6799.0,False,,,23
6802.0,False,,,26
6818.0,False,,,23
6823.0,False,,,25
6825.0,False,,,28
6829.0,False,,,22
6842.0,False,,,25
6849.0,False,,,29
6885.0,False,,,22
6898.0,False,,,20
6900.0,False,,,24
6909.0,False,,,24
6922.0,False,,,24
6924.0,False,,,22
6931.0,False,,,23
6940.0,False,,,22
6945.0,True,0.004255228007209347,2.4799879382370946,29
6946.0,False,,,23
6947.0,False,,,26
6979.0,False,,,22
6992.0,False,,,24
7027.0,False,,,22
7035.0,False,,,26
7037.0,False,,,19
7043.0,False,,,30
7045.0,False,,,21
7046.0,False,,,25
7047.0,False,,,29
7053.0,False,,,21
7059.0,False,,,27
7066.0,False,,,26
7091.0,False,,,28
7133.0,False,,,29
7136.0,False,,,21
7146.0,False,,,29
7155.0,False,,,30
7172.0,False,,,24
7179.0,False,,,21
7188.0,False,,,24
7192.0,False,,,18
7206.0,False,,,23
7211.0,True,5.40265771635169e-05,1.1368792556119567,28
7252.0,False,,,19
7281.0,False,,,23
7294.0,False,,,25
7306.0,False,,,23
7307.0,False,,,27
7308.0,True,0.00035611661907626396,3.8594430646182762,25
7326.0,False,,,26
7327.0,False,,,25
7329.0,False,,,26
7331.0,True,0.0017568606241612945,2.7014102668219664,25
7336.0,False,,,28
7337.0,False,,,21
7351.0,False,,,22
7364.0,False,,,24
7385.0,False,,,26
7387.0,False,,,25
7424.0,False,,,20
7428.0,False,,,28
7430.0,False,,,24
7446.0,True,0.0011661880980375322,9.849814569423168,29
7468.0,False,,,24
7494.0,False,,,29
7500.0,False,,,24
7509.0,False,,,25
7528.0,False,,,22
7533.0,False,,,23
7541.0,False,,,22
7553.0,False,,,24
7582.0,False,,,34
7586.0,False,,,22
7590.0,False,,,22
7592.0,False,,,24
7599.0,False,,,24
7608.0,True,7.47283497290714e-05,1.639401758703799,26
7626.0,True,0.0010211713260613142,7.254797742746854,25
7635.0,False,,,23
7650.0,True,0.07430326650676986,8.239914073608748,21
7651.0,False,,,31
7675.0,False,,,23
7682.0,False,,,22
7697.0,False,,,26
7708.0,False,,,26
7716.0,False,,,28
7721.0,False,,,24
7724.0,False,,,26
7739.0,True,2.440027782413164e-05,0.8281528430077986,24
7746.0,False,,,26
7753.0,False,,,22
7768.0,False,,,22
7770.0,False,,,24
7779.0,False,,,27
7797.0,False,,,22
7800.0,True,0.007254200171048811,5.498342225584949,22
7825.0,False,,,24
7827.0,True,0.09093335426816446,8.708198340190332,27
7838.0,False,,,21
7853.0,False,,,30
7860.0,False,,,29
7861.0,True,0.00833919940742333,3.3460307164371113,21
7872.0,False,,,25
7874.0,False,,,24
7890.0,False,,,27
7892.0,False,,,26
7910.0,False,,,27
7916.0,False,,,26
7918.0,False,,,22
7922.0,False,,,24
7923.0,False,,,28
7953.0,True,3.552012620458428e-05,0.539712086249047,24
7972.0,False,,,25
7975.0,False,,,21
7982.0,False,,,25
7987.0,False,,,26
7993.0,False,,,27
8000.0,False,,,26
8031.0,False,,,22
8038.0,False,,,21
8066.0,False,,,26
8073.0,False,,,22
8092.0,True,0.001406379036970485,1.5237545819509941,21
8111.0,False,,,28
8119.0,False,,,21
8124.0,True,1.6510295867173622e-05,0.619584339412521,28
8125.0,False,,,24
8126.0,False,,,22
8166.0,False,,,25
8190.0,True,0.0002746693266028174,2.4699808755438384,23
8200.0,False,,,24
8219.0,False,,,24
8224.0,False,,,21
8228.0,False,,,27
8229.0,True,0.00034373049542948025,3.1317240249960476,22
8231.0,False,,,22
8239.0,False,,,30
8242.0,True,1.3610171645868177e-05,0.34296550360185296,23
8255.0,False,,,30
8276.0,True,5.649976996742145e-05,2.3026291629177646,29
8289.0,False,,,21
8293.0,False,,,25
8314.0,False,,,28
8329.0,False,,,29
8330.0,False,,,26
8334.0,True,9.546949680570593e-05,1.4745268929883917,29
8354.0,False,,,26
8356.0,False,,,25
8365.0,False,,,25
8378.0,False,,,24
8401.0,False,,,23
8405.0,False,,,22
8443.0,False,,,23
8449.0,False,,,19
8458.0,False,,,29
8461.0,False,,,24
8463.0,False,,,31
8472.0,False,,,23
8505.0,False,,,24
8518.0,False,,,25
8545.0,False,,,22
8554.0,False,,,20
8572.0,False,,,21
8587.0,False,,,23
8612.0,False,,,26
8620.0,False,,,25
8622.0,False,,,26
8634.0,False,,,28
8666.0,False,,,27
8671.0,False,,,27
8685.0,True,4.7406951169964386e-05,1.057600073702649,25
8693.0,True,9.854114816386605e-05,1.4677405486752468,34
8695.0,False,,,30
8705.0,False,,,23
8721.0,False,,,19
8722.0,True,0.0033363696992032787,1.5656047731105696,21
8772.0,False,,,21
8794.0,False,,,25
