event,photon_pT,weight,found,pT_bin
138.0,24.11625749434887,0.01,False,>20
139.0,24.86695480959488,0.01,False,>20
141.0,17.232551611150974,0.01,False,5-20
142.0,29.955366391039195,0.01,False,>20
144.0,44.52918126933594,0.01,False,>20
145.0,12.963233645429636,0.01,False,5-20
146.0,26.23955883275768,0.01,False,>20
148.0,11.715450599876185,0.01,False,5-20
149.0,34.587464688460685,0.01,False,>20
151.0,34.721161337949816,0.01,False,>20
152.0,11.747799047870844,0.01,False,5-20
153.0,12.268578753219268,0.01,False,5-20
154.0,20.684575067628284,0.01,False,>20
155.0,84.49017941759182,0.01,False,>20
156.0,42.69064063377529,0.01,False,>20
157.0,49.91316138499008,0.01,False,>20
159.0,13.669680267876076,0.01,False,5-20
160.0,36.37114239127449,0.01,False,>20
161.0,11.794480172423668,0.01,False,5-20
163.0,44.3538692836517,0.01,False,>20
164.0,28.013335704304986,0.01,False,>20
165.0,87.43432828111511,0.01,False,>20
166.0,10.358672003108714,0.01,False,5-20
167.0,25.59448139677482,0.01,False,>20
169.0,10.827763072541,0.01,False,5-20
172.0,25.25880158997148,0.01,False,>20
173.0,11.616671164526572,0.01,False,5-20
174.0,20.8872018600338,0.01,False,>20
177.0,11.48197602223872,0.01,False,5-20
179.0,58.89532496688017,0.01,False,>20
180.0,17.992505093223777,0.01,False,5-20
181.0,18.933703437903954,0.01,False,5-20
183.0,34.80115333858375,0.01,False,>20
185.0,17.98554504101128,0.01,False,5-20
188.0,35.90411749804212,0.01,False,>20
189.0,21.8834253904651,0.01,False,>20
190.0,33.39342057904048,0.01,False,>20
192.0,12.05833973646802,0.01,False,5-20
193.0,10.76545649362838,0.01,False,5-20
194.0,20.070561811974763,0.01,False,>20
197.0,29.2445668460513,0.01,False,>20
198.0,13.534875764457055,0.01,False,5-20
199.0,10.127249368043822,0.01,False,5-20
200.0,15.476649586158551,0.01,False,5-20
202.0,16.458468596974885,0.01,False,5-20
203.0,27.791324362282708,0.01,False,>20
204.0,123.16828297635624,0.01,False,>20
207.0,84.53824425845573,0.01,False,>20
208.0,199.66700904138867,0.01,False,>20
209.0,11.863587677598812,0.01,False,5-20
211.0,11.548041181682429,0.01,False,5-20
212.0,15.674982478859398,0.01,False,5-20
214.0,99.44902098279624,0.01,False,>20
215.0,16.23299331442152,0.01,False,5-20
216.0,30.42548106054947,0.01,False,>20
221.0,10.01833422304286,0.01,False,5-20
222.0,13.650984120386322,0.01,False,5-20
224.0,138.6661327982324,0.01,False,>20
225.0,42.95063741591506,0.01,False,>20
