event,reason
800.0,no_outer_pairs
801.0,seed_ds_fail
804.0,seed_dw_fail
806.0,no_outer_pairs
807.0,no_outer_pairs
809.0,seed_dw_fail
810.0,seed_dw_fail
811.0,no_outer_pairs
813.0,no_outer_pairs
815.0,no_outer_pairs
818.0,seed_ds_fail
822.0,no_outer_pairs
823.0,no_outer_pairs
825.0,no_outer_pairs
826.0,no_outer_pairs
827.0,no_outer_pairs
828.0,no_outer_pairs
830.0,final_ds_fail
832.0,seed_ds_fail
833.0,no_outer_pairs
834.0,seed_ds_fail
835.0,seed_ds_fail
836.0,no_outer_pairs
837.0,no_outer_pairs
838.0,seed_ds_fail
839.0,no_outer_pairs
840.0,seed_dw_fail
842.0,no_outer_pairs
844.0,seed_dw_fail
845.0,seed_ds_fail
846.0,seed_ds_fail
847.0,seed_ds_fail
852.0,seed_ds_fail
853.0,seed_dw_fail
856.0,no_outer_pairs
858.0,seed_ds_fail
859.0,no_outer_pairs
860.0,seed_dw_fail
861.0,seed_dw_fail
863.0,seed_ds_fail
864.0,seed_ds_fail
865.0,seed_ds_fail
866.0,no_outer_pairs
868.0,no_outer_pairs
870.0,seed_ds_fail
872.0,seed_dw_fail
873.0,final_ds_fail
875.0,no_outer_pairs
876.0,seed_dw_fail
877.0,seed_ds_fail
879.0,seed_ds_fail
880.0,no_outer_pairs
882.0,seed_ds_fail
886.0,seed_dw_fail
889.0,seed_dw_fail
893.0,seed_dw_fail
894.0,seed_ds_fail
895.0,no_outer_pairs
897.0,seed_ds_fail
898.0,seed_ds_fail
899.0,seed_ds_fail
900.0,no_outer_pairs
901.0,seed_ds_fail
902.0,no_outer_pairs
903.0,no_outer_pairs
904.0,no_outer_pairs
905.0,no_outer_pairs
907.0,seed_ds_fail
909.0,seed_ds_fail
910.0,no_outer_pairs
913.0,seed_ds_fail
914.0,no_outer_pairs
915.0,seed_dw_fail
916.0,seed_ds_fail
917.0,no_outer_pairs
920.0,seed_ds_fail
921.0,seed_dw_fail
922.0,no_outer_pairs
923.0,no_outer_pairs
924.0,no_outer_pairs
925.0,final_ds_fail
926.0,no_outer_pairs
930.0,no_outer_pairs
931.0,seed_dw_fail
932.0,seed_ds_fail
933.0,no_outer_pairs
934.0,final_ds_fail
936.0,seed_ds_fail
938.0,seed_dw_fail
941.0,seed_dw_fail
942.0,seed_dw_fail
943.0,seed_ds_fail
944.0,seed_ds_fail
945.0,no_outer_pairs
949.0,seed_ds_fail
950.0,no_outer_pairs
951.0,no_outer_pairs
952.0,seed_ds_fail
953.0,no_outer_pairs
956.0,seed_dw_fail
957.0,no_outer_pairs
958.0,seed_ds_fail
962.0,no_outer_pairs
963.0,seed_dw_fail
964.0,no_outer_pairs
965.0,seed_dw_fail
966.0,seed_ds_fail
967.0,no_outer_pairs
968.0,seed_ds_fail
969.0,no_outer_pairs
970.0,seed_ds_fail
971.0,seed_dw_fail
972.0,seed_ds_fail
973.0,no_outer_pairs
974.0,no_outer_pairs
975.0,seed_dw_fail
976.0,no_outer_pairs
977.0,seed_dw_fail
978.0,no_outer_pairs
979.0,seed_dw_fail
980.0,no_outer_pairs
982.0,no_outer_pairs
983.0,no_outer_pairs
985.0,no_outer_pairs
986.0,seed_ds_fail
987.0,final_ds_fail
988.0,no_outer_pairs
990.0,final_ds_fail
992.0,no_outer_pairs
994.0,no_outer_pairs
995.0,seed_dw_fail
996.0,seed_dw_fail
997.0,no_outer_pairs
998.0,no_outer_pairs
999.0,no_outer_pairs
1000.0,no_outer_pairs
1001.0,seed_dw_fail
1002.0,seed_ds_fail
1003.0,seed_dw_fail
1005.0,no_outer_pairs
1006.0,seed_ds_fail
1008.0,final_ds_fail
1009.0,seed_ds_fail
1010.0,seed_ds_fail
1011.0,seed_ds_fail
1012.0,seed_ds_fail
1013.0,final_ds_fail
1014.0,no_outer_pairs
1016.0,no_outer_pairs
1019.0,no_outer_pairs
1020.0,seed_ds_fail
1022.0,no_outer_pairs
1023.0,seed_ds_fail
1024.0,seed_ds_fail
1025.0,seed_ds_fail
1026.0,seed_ds_fail
1027.0,no_outer_pairs
1028.0,no_outer_pairs
1029.0,seed_ds_fail
1030.0,seed_ds_fail
1031.0,no_outer_pairs
1032.0,no_outer_pairs
1033.0,seed_ds_fail
1034.0,seed_ds_fail
1036.0,seed_ds_fail
1037.0,seed_ds_fail
1038.0,seed_dw_fail
1039.0,seed_dw_fail
1041.0,seed_dw_fail
1042.0,seed_ds_fail
1043.0,seed_ds_fail
1044.0,no_outer_pairs
1048.0,seed_ds_fail
1049.0,seed_dw_fail
1050.0,seed_dw_fail
1051.0,seed_ds_fail
1052.0,seed_ds_fail
1053.0,seed_ds_fail
1054.0,no_outer_pairs
1055.0,no_outer_pairs
1056.0,seed_ds_fail
1057.0,seed_ds_fail
1059.0,no_outer_pairs
1060.0,seed_ds_fail
1061.0,final_ds_fail
1062.0,seed_dw_fail
1063.0,no_outer_pairs
1065.0,no_outer_pairs
1066.0,seed_ds_fail
1067.0,no_outer_pairs
1068.0,final_ds_fail
1069.0,seed_ds_fail
1070.0,final_ds_fail
1071.0,no_outer_pairs
1072.0,seed_ds_fail
1073.0,no_outer_pairs
1074.0,no_outer_pairs
1075.0,no_outer_pairs
1076.0,no_outer_pairs
1077.0,seed_ds_fail
1078.0,seed_dw_fail
1079.0,final_ds_fail
1080.0,seed_dw_fail
1082.0,seed_dw_fail
1083.0,seed_ds_fail
1084.0,seed_ds_fail
1085.0,no_outer_pairs
1086.0,seed_dw_fail
1087.0,seed_dw_fail
1089.0,seed_dw_fail
1090.0,no_outer_pairs
1091.0,final_ds_fail
1092.0,seed_dw_fail
1093.0,seed_dw_fail
1095.0,seed_ds_fail
1096.0,seed_dw_fail
1097.0,no_outer_pairs
1099.0,no_outer_pairs
1100.0,seed_ds_fail
1102.0,no_outer_pairs
1104.0,no_outer_pairs
1105.0,seed_dw_fail
