event,n_valid_seeds,min_seed_ds,median_seed_ds,max_seed_ds
1927,1,0.3381916892352849,0.3381916892352849,0.3381916892352849
1968,1,0.4629814394366011,0.4629814394366011,0.4629814394366011
1974,1,0.37256033596068666,0.37256033596068666,0.37256033596068666
1983,1,0.49904248956911085,0.49904248956911085,0.49904248956911085
2045,1,0.12295480561547975,0.12295480561547975,0.12295480561547975
2129,1,0.4720601661714477,0.4720601661714477,0.4720601661714477
2139,1,0.19347993600370342,0.19347993600370342,0.19347993600370342
2145,1,0.3821389093013009,0.3821389093013009,0.3821389093013009
2168,1,0.29116109138399227,0.29116109138399227,0.29116109138399227
2213,1,0.24804511498003276,0.24804511498003276,0.24804511498003276
2231,1,0.4499469263278335,0.4499469263278335,0.4499469263278335
2265,1,0.3588527642777188,0.3588527642777188,0.3588527642777188
2271,1,0.3041821297770672,0.3041821297770672,0.3041821297770672
2274,1,0.31402534123828607,0.31402534123828607,0.31402534123828607
2302,1,0.41747268287867534,0.41747268287867534,0.41747268287867534
2326,1,0.32187464517510567,0.32187464517510567,0.32187464517510567
2330,1,0.08741306352486658,0.08741306352486658,0.08741306352486658
2363,1,0.3688427676834969,0.3688427676834969,0.3688427676834969
2368,1,0.30509373119243427,0.30509373119243427,0.30509373119243427
2381,1,0.3986179105357557,0.3986179105357557,0.3986179105357557
2397,1,0.4357984736663929,0.4357984736663929,0.4357984736663929
2404,1,0.31635657814922596,0.31635657814922596,0.31635657814922596
2409,1,0.23684410362829594,0.23684410362829594,0.23684410362829594
2422,1,0.27959669010996085,0.27959669010996085,0.27959669010996085
2450,1,0.21698699789367598,0.21698699789367598,0.21698699789367598
2482,1,0.3529891904080887,0.3529891904080887,0.3529891904080887
2483,1,0.30811596480579156,0.30811596480579156,0.30811596480579156
2487,1,0.2876745465193058,0.2876745465193058,0.2876745465193058
2505,1,0.15270190235768347,0.15270190235768347,0.15270190235768347
2516,1,0.4556916047624478,0.4556916047624478,0.4556916047624478
2530,1,0.4906897487024818,0.4906897487024818,0.4906897487024818
2567,1,0.4748762434498109,0.4748762434498109,0.4748762434498109
2586,1,0.35909747685256904,0.35909747685256904,0.35909747685256904
2602,1,0.3291559825156466,0.3291559825156466,0.3291559825156466
2640,1,0.21752217656774983,0.21752217656774983,0.21752217656774983
2643,1,0.4649043637401325,0.4649043637401325,0.4649043637401325
2644,1,0.12566848524408097,0.12566848524408097,0.12566848524408097
2655,1,0.20538289904101345,0.20538289904101345,0.20538289904101345
2684,1,0.2151625066738406,0.2151625066738406,0.2151625066738406
2687,1,0.16202449926496088,0.16202449926496088,0.16202449926496088
2709,1,0.4511455806473381,0.4511455806473381,0.4511455806473381
2717,1,0.330639662521199,0.330639662521199,0.330639662521199
2720,1,0.3786906889836409,0.3786906889836409,0.3786906889836409
2743,1,0.4699331622557605,0.4699331622557605,0.4699331622557605
2752,1,0.40895298645734346,0.40895298645734346,0.40895298645734346
2755,1,0.4568265408754999,0.4568265408754999,0.4568265408754999
2772,1,0.4534872798404317,0.4534872798404317,0.4534872798404317
2777,1,0.31602457120889754,0.31602457120889754,0.31602457120889754
2779,1,0.2571526431140749,0.2571526431140749,0.2571526431140749
2806,1,0.3706249576660186,0.3706249576660186,0.3706249576660186
2818,1,0.46869349025855594,0.46869349025855594,0.46869349025855594
2819,1,0.23923699615247115,0.23923699615247115,0.23923699615247115
2825,1,0.42338121999658723,0.42338121999658723,0.42338121999658723
2915,1,0.11942470420001423,0.11942470420001423,0.11942470420001423
2944,1,0.101419895425799,0.101419895425799,0.101419895425799
2994,1,0.35870827058812826,0.35870827058812826,0.35870827058812826
3015,1,0.24109266835391294,0.24109266835391294,0.24109266835391294
3016,1,0.2939038721936082,0.2939038721936082,0.2939038721936082
3025,1,0.24814872637921742,0.24814872637921742,0.24814872637921742
3057,1,0.23622064216994598,0.23622064216994598,0.23622064216994598
3060,1,0.10153203482759307,0.10153203482759307,0.10153203482759307
3096,1,0.06727232010364047,0.06727232010364047,0.06727232010364047
3145,1,0.466598575417673,0.466598575417673,0.466598575417673
