event,photon_pT,weight,found,delta_s,delta_w,n_hits,reason
260.0,27.37634212947189,0.01,False,,,15,no exact8 plane survived
261.0,27.25134720629399,0.01,False,,,14,no exact8 plane survived
264.0,34.30157220215143,0.01,False,,,15,no exact8 plane survived
265.0,15.442667526469116,0.01,False,,,15,no valid outer-layer seed pairs
266.0,23.994820670839,0.01,False,,,15,no exact8 plane survived
274.0,55.08367831311664,0.01,False,,,14,no exact8 plane survived
275.0,55.67894729918893,0.01,False,,,14,no exact8 plane survived
277.0,45.72424869680213,0.01,False,,,15,no exact8 plane survived
278.0,10.934457483543788,0.01,False,,,15,no valid outer-layer seed pairs
279.0,9.64728832827296,0.01,False,,,15,no valid outer-layer seed pairs
284.0,15.560126406413929,0.01,False,,,15,no valid outer-layer seed pairs
287.0,18.99446044158429,0.01,False,,,15,no exact8 plane survived
288.0,11.763534313443248,0.01,False,,,15,no valid outer-layer seed pairs
290.0,16.048435769669588,0.01,False,,,15,no valid outer-layer seed pairs
292.0,44.96189042911958,0.01,False,,,14,no exact8 plane survived
293.0,38.585302051298754,0.01,False,,,14,no exact8 plane survived
294.0,31.572991680455416,0.01,False,,,14,no exact8 plane survived
297.0,19.73677289087757,0.01,False,,,15,no exact8 plane survived
299.0,10.491590182341133,0.01,False,,,15,no valid outer-layer seed pairs
301.0,12.160913464400288,0.01,False,,,15,no valid outer-layer seed pairs
302.0,23.2606215213988,0.01,False,,,15,no exact8 plane survived
303.0,42.62988057700572,0.01,False,,,14,no exact8 plane survived
304.0,10.128545861079452,0.01,False,,,15,no valid outer-layer seed pairs
305.0,31.86141409116461,0.01,False,,,14,no exact8 plane survived
306.0,28.81401932923569,0.01,False,,,15,no exact8 plane survived
307.0,10.788692926672455,0.01,False,,,15,no valid outer-layer seed pairs
308.0,11.188286159296371,0.01,False,,,15,no valid outer-layer seed pairs
310.0,14.795130041959847,0.01,False,,,15,no valid outer-layer seed pairs
311.0,46.78990574972693,0.01,False,,,14,no exact8 plane survived
312.0,12.096759586080962,0.01,False,,,15,no valid outer-layer seed pairs
313.0,30.904812902889464,0.01,False,,,15,no exact8 plane survived
314.0,47.914800598460914,0.01,False,,,14,no exact8 plane survived
315.0,33.41941437599179,0.01,False,,,15,no exact8 plane survived
319.0,41.957885286743405,0.01,False,,,14,no exact8 plane survived
320.0,17.938641176261424,0.01,False,,,15,no valid outer-layer seed pairs
321.0,29.51812435976209,0.01,False,,,15,no exact8 plane survived
322.0,23.72450357123342,0.01,False,,,15,no exact8 plane survived
323.0,21.24799321322803,0.01,False,,,15,no exact8 plane survived
324.0,10.933121249765186,0.01,False,,,15,no valid outer-layer seed pairs
325.0,20.662558582635366,0.01,False,,,15,no exact8 plane survived
327.0,9.799152054000038,0.01,False,,,15,no valid outer-layer seed pairs
328.0,14.97876070570786,0.01,False,,,15,no valid outer-layer seed pairs
329.0,14.636256171178042,0.01,False,,,15,no valid outer-layer seed pairs
330.0,12.624659414790775,0.01,False,,,15,no valid outer-layer seed pairs
331.0,9.994025597371015,0.01,False,,,15,no valid outer-layer seed pairs
332.0,19.121474261558102,0.01,False,,,15,no exact8 plane survived
333.0,43.38458168069983,0.01,False,,,14,no exact8 plane survived
334.0,34.10470437631768,0.01,False,,,15,no exact8 plane survived
335.0,12.754095538622687,0.01,False,,,15,no valid outer-layer seed pairs
337.0,22.507520891758748,0.01,False,,,15,no exact8 plane survived
338.0,13.012744411092232,0.01,False,,,15,no valid outer-layer seed pairs
339.0,14.041010771156618,0.01,False,,,15,no valid outer-layer seed pairs
340.0,15.387095450689404,0.01,False,,,15,no valid outer-layer seed pairs
341.0,41.77895495878692,0.01,False,,,14,no exact8 plane survived
344.0,14.581819739181537,0.01,False,,,15,no valid outer-layer seed pairs
345.0,16.48762564516387,0.01,False,,,15,no valid outer-layer seed pairs
346.0,22.336596298473264,0.01,False,,,15,no exact8 plane survived
347.0,15.664315910332949,0.01,False,,,15,no valid outer-layer seed pairs
348.0,23.190049187140087,0.01,False,,,15,no exact8 plane survived
349.0,37.05694136250951,0.01,False,,,14,no exact8 plane survived
350.0,22.273492874129737,0.01,False,,,15,no exact8 plane survived
351.0,11.579143230046036,0.01,False,,,15,no valid outer-layer seed pairs
352.0,14.538325575249106,0.01,False,,,15,no valid outer-layer seed pairs
353.0,14.755762995122856,0.01,False,,,15,no valid outer-layer seed pairs
354.0,18.28511896806563,0.01,False,,,15,no valid outer-layer seed pairs
355.0,11.000944497158155,0.01,False,,,15,no valid outer-layer seed pairs
356.0,50.38855409234995,0.01,False,,,14,no exact8 plane survived
357.0,28.11493558267886,0.01,False,,,15,no exact8 plane survived
360.0,20.67425482018992,0.01,False,,,15,no exact8 plane survived
362.0,20.265893269021703,0.01,False,,,15,no exact8 plane survived
363.0,20.413388071228603,0.01,False,,,15,no exact8 plane survived
364.0,12.753751049901052,0.01,False,,,15,no valid outer-layer seed pairs
367.0,38.682061692433074,0.01,False,,,15,no exact8 plane survived
368.0,17.863225829162356,0.01,False,,,15,no valid outer-layer seed pairs
370.0,46.4628947557263,0.01,False,,,14,no exact8 plane survived
371.0,24.36927175638192,0.01,False,,,15,no exact8 plane survived
372.0,18.323381839853408,0.01,False,,,15,no valid outer-layer seed pairs
374.0,10.909024655331963,0.01,False,,,15,no valid outer-layer seed pairs
375.0,14.991712727040216,0.01,False,,,15,no valid outer-layer seed pairs
376.0,93.02206447036062,0.01,False,,,14,no exact8 plane survived
377.0,10.496853933195723,0.01,False,,,15,no valid outer-layer seed pairs
378.0,102.22759867366987,0.01,False,,,14,no exact8 plane survived
379.0,11.47643412792188,0.01,False,,,15,no valid outer-layer seed pairs
380.0,11.186129655617078,0.01,False,,,15,no valid outer-layer seed pairs
381.0,12.107754108599227,0.01,False,,,15,no valid outer-layer seed pairs
382.0,22.574052217155163,0.01,False,,,15,no exact8 plane survived
383.0,13.598142965053627,0.01,False,,,15,no valid outer-layer seed pairs
384.0,21.26757776618549,0.01,False,,,15,no exact8 plane survived
385.0,14.191971933695257,0.01,False,,,15,no valid outer-layer seed pairs
387.0,17.54823918731004,0.01,False,,,15,no valid outer-layer seed pairs
389.0,26.659872430739885,0.01,False,,,15,no exact8 plane survived
390.0,17.741404450351066,0.01,False,,,15,no valid outer-layer seed pairs
391.0,27.45232174178714,0.01,False,,,14,no exact8 plane survived
393.0,14.262145385663644,0.01,False,,,15,no valid outer-layer seed pairs
394.0,51.70329916442612,0.01,False,,,14,no exact8 plane survived
397.0,12.04151255092011,0.01,False,,,15,no valid outer-layer seed pairs
398.0,13.285200819606615,0.01,False,,,15,no valid outer-layer seed pairs
399.0,20.232485083023228,0.01,False,,,15,no exact8 plane survived
400.0,13.405638550337994,0.01,False,,,15,no valid outer-layer seed pairs
401.0,59.76665606069919,0.01,False,,,14,no exact8 plane survived
402.0,14.998532565544668,0.01,False,,,15,no valid outer-layer seed pairs
403.0,12.031117923572715,0.01,False,,,15,no valid outer-layer seed pairs
404.0,31.62286838762609,0.01,False,,,14,no exact8 plane survived
405.0,91.29749015898676,0.01,False,,,14,no exact8 plane survived
406.0,26.51395963836516,0.01,False,,,15,no exact8 plane survived
407.0,16.62801034806289,0.01,False,,,15,no valid outer-layer seed pairs
410.0,12.491087007247677,0.01,False,,,15,no valid outer-layer seed pairs
411.0,20.4928729164716,0.01,False,,,15,no exact8 plane survived
412.0,12.747834333016106,0.01,False,,,15,no valid outer-layer seed pairs
417.0,24.56321584307364,0.01,False,,,15,no exact8 plane survived
418.0,13.394463530004916,0.01,False,,,15,no valid outer-layer seed pairs
419.0,18.13248891135143,0.01,False,,,15,no valid outer-layer seed pairs
420.0,19.877190312264247,0.01,False,,,15,no exact8 plane survived
421.0,13.66067598310027,0.01,False,,,15,no valid outer-layer seed pairs
422.0,28.71950911847805,0.01,False,,,15,no exact8 plane survived
423.0,46.13463558860827,0.01,False,,,14,no exact8 plane survived
424.0,5.988243900607253,0.01,False,,,15,no valid outer-layer seed pairs
425.0,61.98111736254656,0.01,False,,,14,no exact8 plane survived
426.0,16.36860870404365,0.01,False,,,15,no valid outer-layer seed pairs
427.0,26.163861160221707,0.01,False,,,15,no exact8 plane survived
428.0,17.661308009374537,0.01,False,,,15,no valid outer-layer seed pairs
429.0,28.39142513357213,0.01,False,,,15,no exact8 plane survived
430.0,80.86877360001648,0.01,False,,,14,no exact8 plane survived
432.0,15.908926190651025,0.01,False,,,15,no valid outer-layer seed pairs
433.0,48.060276547060255,0.01,False,,,14,no exact8 plane survived
434.0,78.62370549005507,0.01,False,,,14,no exact8 plane survived
435.0,12.374234966627233,0.01,False,,,15,no valid outer-layer seed pairs
437.0,34.84034170328614,0.01,False,,,14,no exact8 plane survived
439.0,32.69415621132011,0.01,False,,,15,no exact8 plane survived
440.0,12.904487769537786,0.01,False,,,15,no valid outer-layer seed pairs
441.0,11.479850080806948,0.01,False,,,15,no valid outer-layer seed pairs
443.0,11.055570442715853,0.01,False,,,15,no valid outer-layer seed pairs
444.0,9.698259987008244,0.01,False,,,15,no valid outer-layer seed pairs
445.0,11.181818770320362,0.01,False,,,15,no valid outer-layer seed pairs
446.0,383.4556342518929,0.01,False,,,13,no exact8 plane survived
447.0,37.79663194405919,0.01,False,,,14,no exact8 plane survived
450.0,41.1645545279673,0.01,False,,,15,no exact8 plane survived
452.0,12.0570732192711,0.01,False,,,15,no valid outer-layer seed pairs
453.0,22.09149070149037,0.01,False,,,15,no exact8 plane survived
454.0,26.273630152405683,0.01,False,,,15,no exact8 plane survived
455.0,22.76774603198647,0.01,False,,,15,no exact8 plane survived
457.0,19.763748586256177,0.01,False,,,15,no exact8 plane survived
458.0,55.72404713624773,0.01,False,,,14,no exact8 plane survived
460.0,9.227501968935986,0.01,False,,,15,no valid outer-layer seed pairs
461.0,61.67371866023308,0.01,False,,,14,no exact8 plane survived
462.0,16.275630497222632,0.01,False,,,15,no valid outer-layer seed pairs
464.0,73.36815277599996,0.01,False,,,14,no exact8 plane survived
466.0,28.808411075716784,0.01,False,,,15,no exact8 plane survived
467.0,9.79984023959998,0.01,False,,,15,no valid outer-layer seed pairs
468.0,105.46323394242384,0.01,False,,,14,no exact8 plane survived
469.0,15.221749209871188,0.01,False,,,15,no valid outer-layer seed pairs
470.0,48.490890487869805,0.01,False,,,14,no exact8 plane survived
472.0,23.19522689315088,0.01,False,,,15,no exact8 plane survived
473.0,12.886850257428218,0.01,False,,,15,no valid outer-layer seed pairs
474.0,13.40907292400575,0.01,False,,,15,no valid outer-layer seed pairs
475.0,46.72817361092464,0.01,False,,,14,no exact8 plane survived
476.0,80.72053581150413,0.01,False,,,14,no exact8 plane survived
477.0,21.73721454364653,0.01,False,,,15,no exact8 plane survived
478.0,24.206952360230083,0.01,False,,,15,no exact8 plane survived
479.0,20.27497020165615,0.01,False,,,15,no exact8 plane survived
480.0,17.403460175500953,0.01,False,,,15,no valid outer-layer seed pairs
481.0,9.757182244243184,0.01,False,,,15,no valid outer-layer seed pairs
483.0,67.62083536587643,0.01,False,,,14,no exact8 plane survived
484.0,8.896594784009817,0.01,False,,,15,no valid outer-layer seed pairs
485.0,154.06928496195974,0.01,False,,,14,no exact8 plane survived
486.0,13.563695940649191,0.01,False,,,15,no valid outer-layer seed pairs
488.0,15.729144436052104,0.01,False,,,15,no valid outer-layer seed pairs
489.0,12.491844034396053,0.01,False,,,15,no valid outer-layer seed pairs
492.0,97.1365720831407,0.01,False,,,14,no exact8 plane survived
493.0,59.87155042546015,0.01,False,,,14,no exact8 plane survived
494.0,30.358915646703128,0.01,False,,,15,no exact8 plane survived
495.0,23.850419537119013,0.01,False,,,15,no exact8 plane survived
496.0,45.65362715879396,0.01,False,,,15,no exact8 plane survived
499.0,53.445983995849375,0.01,False,,,14,no exact8 plane survived
500.0,9.079776477290077,0.01,False,,,15,no valid outer-layer seed pairs
501.0,11.709594862594416,0.01,False,,,15,no valid outer-layer seed pairs
502.0,58.99622031049168,0.01,False,,,14,no exact8 plane survived
505.0,16.050880293763313,0.01,False,,,15,no valid outer-layer seed pairs
506.0,28.38616226389941,0.01,False,,,15,no exact8 plane survived
507.0,14.356221294036034,0.01,False,,,15,no valid outer-layer seed pairs
510.0,31.67616652882948,0.01,False,,,15,no exact8 plane survived
511.0,47.116443180292656,0.01,False,,,14,no exact8 plane survived
512.0,11.560243115255693,0.01,False,,,15,no valid outer-layer seed pairs
513.0,15.979089150456586,0.01,False,,,15,no valid outer-layer seed pairs
