event,mu,hard_found,pu_found,transition,hard_ds,pu_ds,hard_dw,pu_dw,hard_hits,combined_hits,pu_events
8328,20,False,False,0->0,,,,,16,3226,"835,994,866,48,226,905,248,155,975,764,11,261,643,41,650,999,848,571,321,865"
828,0,False,False,0->0,,,,,16,16,
828,5,False,False,0->0,,,,,16,1006,"913,239,880,224,430"
828,10,False,False,0->0,,,,,16,542,"606,546,527,352,981,727,271,34,436,639"
828,20,False,False,0->0,,,,,16,4115,"836,801,204,956,414,706,887,431,578,622,248,543,952,945,251,501,197,428,4,420"
687,0,False,False,0->0,,,,,16,16,
687,5,False,False,0->0,,,,,16,786,"592,87,105,556,902"
687,10,False,False,0->0,,,,,16,1178,"203,222,273,358,650,963,248,555,369,854"
687,20,False,False,0->0,,,,,16,3892,"982,386,226,58,208,739,943,313,486,293,736,629,998,52,111,845,124,202,261,862"
3489,0,False,False,0->0,,,,,16,16,
3489,5,False,False,0->0,,,,,16,330,"269,483,783,530,25"
3489,10,False,False,0->0,,,,,16,1324,"585,521,648,859,949,998,40,117,958,23"
3489,20,False,False,0->0,,,,,16,3206,"379,472,298,804,761,402,165,141,264,50,757,519,510,727,810,726,65,394,370,731"
9279,0,False,False,0->0,,,,,16,16,
9279,5,False,False,0->0,,,,,16,1081,"181,617,626,448,884"
9279,10,False,False,0->0,,,,,16,1184,"324,235,80,440,884,355,173,787,465,501"
9279,20,False,False,0->0,,,,,16,3642,"209,826,222,520,346,46,571,590,741,136,935,575,545,896,189,444,740,623,547,246"
4668,0,False,False,0->0,,,,,16,16,
4668,5,False,False,0->0,,,,,16,738,"182,473,990,927,273"
4668,10,False,False,0->0,,,,,16,1737,"3,378,915,203,181,591,254,969,840,794"
4668,20,False,False,0->0,,,,,16,4341,"508,822,416,767,182,535,434,342,420,642,558,956,764,192,26,58,808,309,95,479"
2770,0,False,False,0->0,,,,,16,16,
2770,5,False,False,0->0,,,,,16,628,"39,460,27,167,48"
2770,10,False,False,0->0,,,,,16,1976,"756,708,945,571,728,23,827,631,421,956"
2770,20,False,False,0->0,,,,,16,4044,"538,138,590,883,880,512,431,625,898,926,490,249,332,714,414,853,259,96,422,271"
5035,0,False,False,0->0,,,,,16,16,
5035,5,False,False,0->0,,,,,16,501,"62,224,745,957,886"
5035,10,False,False,0->0,,,,,16,1565,"8,242,797,609,58,253,922,384,157,211"
5035,20,False,False,0->0,,,,,16,2624,"717,515,453,856,780,9,24,649,47,744,26,834,924,6,838,479,705,168,547,414"
9578,0,False,False,0->0,,,,,16,16,
9578,5,False,False,0->0,,,,,16,529,"205,154,847,122,155"
9578,10,False,False,0->0,,,,,16,1439,"590,282,575,568,848,146,697,571,952,49"
9578,20,False,False,0->0,,,,,16,2485,"719,157,317,730,760,852,890,68,152,100,955,276,188,526,45,549,2,169,309,712"
9919,0,False,False,0->0,,,,,16,16,
9919,5,False,False,0->0,,,,,16,991,"603,781,751,200,917"
9919,10,False,False,0->0,,,,,16,1538,"368,13,74,112,768,8,837,539,926,983"
9919,20,False,False,0->0,,,,,16,3552,"44,630,236,327,518,120,95,659,487,279,994,598,527,25,232,84,554,592,558,680"
7270,0,False,False,0->0,,,,,16,16,
7270,5,False,False,0->0,,,,,16,577,"157,340,781,940,515"
7270,10,False,False,0->0,,,,,16,2216,"220,327,998,837,836,366,309,860,999,618"
7270,20,False,False,0->0,,,,,16,4004,"363,707,761,104,409,165,696,207,500,887,688,898,203,239,708,874,661,27,975,442"
4450,0,False,False,0->0,,,,,16,16,
4450,5,False,False,0->0,,,,,16,1262,"822,705,697,364,87"
4450,10,False,False,0->0,,,,,16,1262,"500,731,914,620,745,267,343,337,247,412"
4450,20,False,False,0->0,,,,,16,3159,"699,36,469,392,472,719,866,609,597,264,983,934,667,536,453,60,20,43,533,159"
5991,0,False,False,0->0,,,,,16,16,
5991,5,False,False,0->0,,,,,16,475,"177,666,520,39,43"
5991,10,False,False,0->0,,,,,16,1585,"791,78,797,669,857,948,937,76,855,639"
5991,20,False,False,0->0,,,,,16,3782,"337,161,865,247,463,883,58,431,880,390,944,746,715,490,716,96,190,591,584,518"
