event,layer,n1_distance_mm,passes_0p5
2640.0,1304,0.7415239223105577,False
2640.0,1304,1.2491475826004288,False
2640.0,1302,0.9427328180772551,False
2640.0,1302,1.1945020992961217,False
2643.0,1304,0.4294486763933,True
2643.0,1304,0.4102416326769845,True
2643.0,1302,0.32277768932052625,True
2643.0,1302,0.8447805483172631,False
2644.0,1304,0.06663506014275147,True
2644.0,1304,0.34349301371655644,True
2644.0,1302,0.5432398279741147,False
2644.0,1302,0.38942199680480366,True
2655.0,1304,0.19617282675942516,True
2655.0,1304,1.2532343496506695,False
2655.0,1302,0.18235588283424642,True
2655.0,1302,0.5877386964582206,False
2684.0,1304,0.5282510984580225,False
2684.0,1304,0.2394011410714246,True
2684.0,1302,0.16604807634640723,True
2684.0,1302,0.21337437031312628,True
2687.0,1304,0.3492253619235379,True
2687.0,1304,0.29176529793632966,True
2687.0,1302,0.3255795359057476,True
2687.0,1302,0.5907633152063387,False
2709.0,1304,0.4431401781623519,True
2709.0,1304,0.10842272236272217,True
2709.0,1302,0.31362217819242616,True
2709.0,1302,1.5328719810677018,False
2717.0,1304,2.1025006284568564,False
2717.0,1304,1.8098166571180068,False
2717.0,1302,0.749304916573483,False
2717.0,1302,0.7734563644814573,False
2720.0,1304,0.29314125913547084,True
2720.0,1304,0.39286216346564157,True
2720.0,1302,0.15541430087183236,True
2720.0,1302,0.7587033001820013,False
2743.0,1304,0.08767718181653443,True
2743.0,1304,2.1550534803259476,False
2743.0,1302,1.2390869291985942,False
2743.0,1302,0.32280344868019695,True
2752.0,1304,0.10391651922263921,True
2752.0,1304,0.6673506801095872,False
2752.0,1302,0.1561770900364403,True
2752.0,1302,1.5126080023694484,False
2755.0,1304,0.12409399223758386,True
2755.0,1304,0.3088765795974843,True
2755.0,1302,1.2110893735655477,False
2755.0,1302,0.3743486911328792,True
2772.0,1304,1.8185519948816546,False
2772.0,1304,0.639964428146472,False
2772.0,1302,0.8304087789176111,False
2772.0,1302,1.1065031176625275,False
2777.0,1304,0.02872563322410678,True
2777.0,1304,0.3352188512516041,True
2777.0,1302,0.32758307787895324,True
2777.0,1302,0.17748729893484766,True
2779.0,1304,0.3285515425315193,True
2779.0,1304,1.4121975910997873,False
2779.0,1302,1.554365491290355,False
2779.0,1302,1.2422252846817845,False
2806.0,1304,0.206025007402024,True
2806.0,1304,0.19983575247443267,True
2806.0,1302,0.16691620863408912,True
2806.0,1302,0.8625924874332028,False
2818.0,1304,0.2137498875045065,True
2818.0,1304,0.8383502571308894,False
2818.0,1302,0.9103674619744861,False
2818.0,1302,0.10252190746282917,True
2819.0,1304,1.0918907955238786,False
2819.0,1304,0.8449839398403367,False
2819.0,1302,1.1011290874354427,False
2819.0,1302,0.28020671114707213,True
2825.0,1304,1.2620479597492689,False
2825.0,1304,0.009333447701777796,True
2825.0,1302,1.081228094380919,False
2825.0,1302,0.14454737518982802,True
2915.0,1304,1.0806848630921002,False
2915.0,1304,0.4434848140916573,True
2915.0,1302,0.14220999663334002,True
2915.0,1302,0.3489418426439044,True
2944.0,1304,0.08646310890987116,True
2944.0,1304,0.801005256999632,False
2944.0,1302,0.36902168622660864,True
2944.0,1302,0.5391606326278059,False
2994.0,1304,0.15863739528898746,True
2994.0,1304,0.6662414290314683,False
2994.0,1302,0.8427314239722755,False
2994.0,1302,0.4142955904496836,True
3015.0,1304,0.6889720389719044,False
3015.0,1304,1.2766125984875873,False
3015.0,1302,0.5235710447624815,False
3015.0,1302,0.16247885169482507,True
3016.0,1304,0.593470481271115,False
3016.0,1304,0.5717647591824886,False
3016.0,1302,0.43804742218990744,True
3016.0,1302,0.849169714982316,False
3025.0,1304,0.11446215219204146,True
3025.0,1304,0.1430406134271932,True
3025.0,1302,0.32288600305058496,True
3025.0,1302,0.2165153068142853,True
3057.0,1304,0.5916788042643218,False
3057.0,1304,0.23696009723930814,True
3057.0,1302,0.21983231774897252,True
3057.0,1302,0.2831227185569709,True
3060.0,1304,0.34546959262338545,True
3060.0,1304,0.3625018722502454,True
3060.0,1302,0.17182396736753253,True
3060.0,1302,0.33331762975798507,True
3096.0,1304,0.6659409384254842,False
3096.0,1304,0.33934052587201247,True
3096.0,1302,0.3054877155186256,True
3096.0,1302,0.9414756809569358,False
3145.0,1304,1.5090806204105418,False
3145.0,1304,0.3935448795508638,True
3145.0,1302,3.1355135310947553,False
3145.0,1302,1.9733805067383348,False
3159.0,1304,0.7836379036254494,False
3159.0,1304,0.6897206713025604,False
3159.0,1302,0.27830241462417993,True
3159.0,1302,0.8503466824118235,False
3183.0,1304,0.15328764024510966,True
3183.0,1304,0.6997267059018225,False
3183.0,1302,0.010448361642017722,True
3183.0,1302,0.07064113779136326,True
3203.0,1304,0.14057069324007124,True
3203.0,1304,0.5116444439021688,False
3203.0,1302,0.43447987911209923,True
3203.0,1302,1.081779008167041,False
3216.0,1304,0.9269496008617946,False
3216.0,1304,0.11987667309973558,True
3216.0,1302,0.3441057143598376,True
3216.0,1302,0.7500988056797055,False
3245.0,1304,0.16383446052384526,True
3245.0,1304,1.5558101976120053,False
3245.0,1302,0.3752047620538451,True
3245.0,1302,1.9713574505053957,False
3260.0,1304,1.223429861490884,False
3260.0,1304,1.0070536789127351,False
3260.0,1302,0.42361793596084885,True
3260.0,1302,0.5477255885152811,False
3284.0,1304,1.6983100175661778,False
3284.0,1304,0.13225260524548313,True
3284.0,1302,0.751580815490972,False
3284.0,1302,0.18608056101013024,True
3328.0,1304,0.4256677676852034,True
3328.0,1304,0.7723330034816172,False
3328.0,1302,0.9031590193339711,False
3328.0,1302,1.8996852583209622,False
3338.0,1304,0.1769776946252705,True
3338.0,1304,0.299465334850131,True
3338.0,1302,0.018029072244803546,True
3338.0,1302,0.016181288454375463,True
3345.0,1304,0.3332888777776059,True
3345.0,1304,0.6069138953507444,False
