pileup_event,particle_id,pdg_id,charge,mass,pT,eta,layer_id,trajectory_step,x,y,z,r,phi,pileup_z0
3,210,-211,-1.0,0.13957,0.316972043722781,0.6715548987087269,3,117,61.12886597526144,-63.99618539083812,25.68533963436898,88.49999999999999,-0.8083097837398459,-39.17977820815886
3,210,-211,-1.0,0.13957,0.316972043722781,0.6715548987087269,4,164,94.13445923805708,-78.38975433026033,51.78183637709095,122.5,-0.6943894198946108,-39.17977820815886
3,210,-211,-1.0,0.13957,0.316972043722781,0.6715548987087269,5,512,295.95091021657106,42.59176847682066,243.58767924116003,299.0,0.1429335783190938,-39.17977820815886
3,211,211,1.0,0.13957,0.7491529392105829,1.4703091712155971,1,76,27.21718384033506,19.09940846731657,29.349833677329592,33.25,0.6118933338997956,-39.17977820815886
3,211,211,1.0,0.13957,0.7491529392105829,1.4703091712155971,2,116,41.99574291267015,28.046525225291557,64.9476191130959,50.5,0.5888159251139716,-39.17977820815886
3,211,211,1.0,0.13957,0.7491529392105829,1.4703091712155971,3,203,76.0057095638349,45.33632223392166,143.58972822734873,88.50000000000001,0.5378314819528827,-39.17977820815886
3,211,211,1.0,0.13957,0.7491529392105829,1.4703091712155971,4,282,107.97295265925216,57.86269518474652,214.3547841988197,122.5,0.4919533931240751,-39.17977820815886
3,211,211,1.0,0.13957,0.7491529392105829,1.4703091712155971,5,707,290.03704636284266,72.66024867228472,594.5479297336276,299.0,0.2454685594167204,-39.17977820815886
3,211,211,1.0,0.13957,0.7491529392105829,1.4703091712155971,6,892,367.4813932389571,50.97475476306874,760.5692404377719,371.0,0.1378342823583302,-39.17977820815886
3,211,211,1.0,0.13957,0.7491529392105829,1.4703091712155971,7,1089,442.8817755966288,10.233906603900143,937.5368868169621,443.00000000000006,0.0231034245665042,-39.17977820815886
3,211,211,1.0,0.13957,0.7491529392105829,1.4703091712155971,8,1302,511.4087314142224,-51.547157373571785,1128.120999273667,514.0,-0.1004551660368137,-39.17977820815886
3,212,211,1.0,0.13957,1.1045874407019824,0.2365524768786722,1,34,31.218838744374978,-11.443190440288568,-31.23964640648654,33.25,-0.3513398347097888,-39.17977820815886
3,212,211,1.0,0.13957,1.1045874407019824,0.2365524768786722,2,52,47.13753426795022,-18.11912975663619,-27.117944093240975,50.50000000000001,-0.3669762396422891,-39.17977820815886
3,212,211,1.0,0.13957,1.1045874407019824,0.2365524768786722,3,91,81.46315094031847,-34.58330578291914,-18.02638755170883,88.49999999999999,-0.4014699304943513,-39.17977820815886
3,212,211,1.0,0.13957,1.1045874407019824,0.2365524768786722,4,127,111.22468024116344,-51.33537284612772,-9.87071457098202,122.5,-0.4324144836672219,-39.17977820815886
3,212,211,1.0,0.13957,1.1045874407019824,0.2365524768786722,5,313,247.53079529194457,-167.7185302288851,33.114094643420096,299.0,-0.5955106062678802,-39.17977820815886
3,212,211,1.0,0.13957,1.1045874407019824,0.2365524768786722,6,392,292.1785024097629,-228.63228715469768,51.16071500183552,371.0,-0.6639842884657173,-39.17977820815886
3,212,211,1.0,0.13957,1.1045874407019824,0.2365524768786722,7,472,328.87513277885614,-296.79984339566244,69.66046330183545,443.0,-0.734177904164027,-39.17977820815886
3,212,211,1.0,0.13957,1.1045874407019824,0.2365524768786722,8,554,356.0441450509063,-370.7135913005743,88.47893010480311,514.0,-0.8055802044928938,-39.17977820815886
3,215,-211,-1.0,0.13957,0.2480483650553704,1.541690512247606,1,83,13.127869349238424,30.548675034268285,35.16632435885621,33.25,1.1649209847104225,-39.17977820815886
3,215,-211,-1.0,0.13957,0.2480483650553704,1.541690512247606,2,127,16.6149936434827,47.68848903275328,74.19017898132523,50.5,1.2355415477912122,-39.17977820815886
3,215,-211,-1.0,0.13957,0.2480483650553704,1.541690512247606,3,226,15.437815652102138,87.14312278023843,162.55909446120785,88.5,1.395460733975156,-39.17977820815886
3,215,-211,-1.0,0.13957,0.2480483650553704,1.541690512247606,4,321,2.879962563934277,122.46614150707263,246.4524480848585,122.5,1.5472842620614269,-39.17977820815886
3,217,321,1.0,0.49368,0.4731705533577734,0.3175611475775365,1,49,19.156498250336128,-27.17703211877392,-28.43363076713639,33.25,-0.9568038813976684,-39.17977820815886
3,217,321,1.0,0.49368,0.4731705533577734,0.3175611475775365,2,74,27.56402579670326,-42.31399865149448,-22.840874690734456,50.49999999999999,-0.9934261528392128,-39.17977820815886
3,217,321,1.0,0.49368,0.4731705533577734,0.3175611475775365,3,131,42.12583869012431,-77.8309945629222,-10.431317372238546,88.5,-1.0746976366797143,-39.17977820815886
3,217,321,1.0,0.49368,0.4731705533577734,0.3175611475775365,4,183,50.20929962290476,-111.7375327782808,0.8350576390033311,122.5,-1.1484827802651367,-39.17977820815886
3,217,321,1.0,0.49368,0.4731705533577734,0.3175611475775365,5,479,-0.0602700249432409,-298.9999939256255,65.3504119032535,299.0,-1.5709978987860385,-39.17977820815886
3,217,321,1.0,0.49368,0.4731705533577734,0.3175611475775365,6,631,-80.1302274896525,-362.2432147638608,98.56099038021927,371.0,-1.788496282718196,-39.17977820815886
3,217,321,1.0,0.49368,0.4731705533577734,0.3175611475775365,7,850,-223.66006773143425,-382.3940037479278,146.13078346330724,443.0,-2.100034632498,-39.17977820815886
3,218,-211,-1.0,0.13957,0.9729214972254688,0.5388730214424933,1,38,29.46299561629187,-15.41085297166792,-20.37874158788023,33.25,-0.4819233250021451,-39.17977820815886
3,218,-211,-1.0,0.13957,0.9729214972254688,0.5388730214424933,2,58,45.15685513508412,-22.60770740939973,-10.617535461205534,50.5,-0.4641661968796083,-39.17977820815886
3,218,-211,-1.0,0.13957,0.9729214972254688,0.5388730214424933,3,102,80.62763860852874,-36.48881873139337,10.921671296767968,88.49999999999999,-0.4249805220660227,-39.17977820815886
3,218,-211,-1.0,0.13957,0.9729214972254688,0.5388730214424933,4,142,113.31061160279774,-46.5505671093266,30.258244927614292,122.5,-0.3898013013783517,-39.17977820815886
3,218,-211,-1.0,0.13957,0.9729214972254688,0.5388730214424933,5,351,292.8281614001238,-60.43730545799541,132.63990409918662,299.0,-0.203533814280877,-39.17977820815886
3,218,-211,-1.0,0.13957,0.9729214972254688,0.5388730214424933,6,440,368.1229320666684,-46.11406387035332,176.01497276489224,371.0,-0.1246189708539302,-39.17977820815886
3,218,-211,-1.0,0.13957,0.9729214972254688,0.5388730214424933,7,532,442.5897875433327,-19.05990457341465,220.8556029295046,443.0,-0.043037900295833,-39.17977820815886
3,218,-211,-1.0,0.13957,0.9729214972254688,0.5388730214424933,8,627,513.5701458932647,21.016784891386905,266.9918132930559,514.0,0.0409000886677234,-39.17977820815886
3,221,211,1.0,0.13957,0.1795426750107528,-0.7780551796383034,1,51,-33.141590671227945,-2.682809680312227,-67.90657675554296,33.25,-3.06081884326061,-39.17977820815886
