event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,n_merged
34.0,-1,4,229,108.51801859156912,-56.83387758159613,261.6,122.5,-0.4824489795918368,30.938474815687428,0.01,1
36.0,0,1,14,-19.76923124532873,26.73462167244411,48.25,33.25,2.207518796992481,13.245555596798075,0.01,2
36.0,1,2,44,-29.96132951053092,40.65179865591914,73.2,50.5,2.205940594059406,13.245555596798075,0.01,1
36.0,-1,2,44,-30.12209134458792,40.5328214294083,73.2,50.5,2.2099009900990105,13.245555596798075,0.01,1
36.0,1,3,111,-52.163165251628506,71.49303596107312,128.4,88.49999999999999,2.2011299435028255,13.245555596798075,0.01,1
36.0,-1,3,111,-53.12773748340667,70.7791883952778,128.4,88.49999999999999,2.214689265536723,13.245555596798075,0.01,1
36.0,1,4,171,-71.72707788668038,99.30496612877972,177.60000000000002,122.5,2.196326530612245,13.245555596798075,0.01,1
36.0,-1,4,171,-74.01781876318985,97.60948983341518,177.60000000000002,122.5,2.2195918367346943,13.245555596798075,0.01,1
37.0,0,1,9,-31.955658208485065,-9.1868606423784,19.0,33.25,-2.861654135338346,21.5385333590844,0.01,2
37.0,1,2,29,-48.55797673009148,-13.869855654616398,28.8,50.50000000000001,-2.863366336633663,21.5385333590844,0.01,1
37.0,-1,2,29,-48.51656499440699,-14.01402587208552,28.8,50.50000000000001,-2.8603960396039607,21.5385333590844,0.01,1
37.0,1,3,73,-85.16282105361344,-24.073718246050287,50.400000000000006,88.5,-2.8661016949152542,21.5385333590844,0.01,1
37.0,-1,3,73,-84.95575082189754,-24.79456396647572,50.400000000000006,88.5,-2.857627118644068,21.5385333590844,0.01,1
37.0,1,4,112,-117.9761510832006,-32.98299221710832,69.60000000000001,122.5,-2.868979591836735,21.5385333590844,0.01,1
37.0,-1,4,112,-117.49294332862613,-34.664942924751095,69.60000000000001,122.5,-2.854693877551021,21.5385333590844,0.01,1
38.0,0,1,18,-13.814142065781805,-30.244526016892966,-67.25,33.25,-1.999248120300752,35.344448531932784,0.01,2
38.0,0,2,57,-20.99267766334243,-45.92991247023071,-102.0,50.5,-1.9995049504950497,35.344448531932784,0.01,2
38.0,1,3,143,-36.96533668313271,-80.41028468984948,-178.8,88.5,-2.0016949152542374,35.344448531932784,0.01,1
38.0,-1,3,143,-36.55599472892498,-80.59720373175986,-178.8,88.5,-1.996610169491526,35.344448531932784,0.01,1
38.0,1,4,219,-51.38682644110415,-111.20091756955892,-247.2,122.5,-2.0036734693877554,35.344448531932784,0.01,1
38.0,-1,4,219,-50.43179972248832,-111.63728578190543,-247.2,122.5,-1.9951020408163265,35.344448531932784,0.01,1
39.0,0,1,10,5.133361984472252,32.85133893369482,25.5,33.25,1.4157894736842103,31.511907055228363,0.01,2
39.0,1,2,32,7.843334006546544,49.88719386437516,38.8,50.5,1.414851485148515,31.511907055228363,0.01,1
39.0,-1,2,32,7.744532171029198,49.9026274002872,38.8,50.5,1.4168316831683168,31.511907055228363,0.01,1
39.0,1,3,80,13.907586915165242,87.40039488581917,68.0,88.5,1.412994350282486,31.511907055228363,0.01,1
39.0,-1,3,80,13.413580040641358,87.47757352883828,68.0,88.5,1.4186440677966103,31.511907055228363,0.01,1
39.0,1,4,122,19.5387419866517,120.93174753380129,94.0,122.5,1.4106122448979592,31.511907055228363,0.01,1
39.0,-1,4,122,18.35318594449855,121.11734213433957,94.0,122.5,1.420408163265306,31.511907055228363,0.01,1
40.0,0,1,11,11.698118526105691,-31.124201161625024,-30.25,33.25,-1.211278195488722,8.69070266324446,0.01,2
40.0,1,2,34,17.644902188261703,-47.31709444552441,-46.0,50.5,-1.213861386138614,8.69070266324446,0.01,1
40.0,-1,2,34,17.925680835931168,-47.21143893770164,-46.0,50.5,-1.2079207920792079,8.69070266324446,0.01,1
40.0,1,3,85,30.29053286518502,-83.1548772997901,-80.4,88.5,-1.2214689265536725,8.69070266324446,0.01,1
40.0,-1,3,85,32.02205420131915,-82.50356383046599,-80.4,88.5,-1.2005649717514126,8.69070266324446,0.01,1
40.0,1,4,131,41.061911336368496,-115.4130384202938,-111.6,122.5,-1.2289795918367348,8.69070266324446,0.01,1
40.0,-1,4,131,45.13350432828794,-113.88246918226004,-111.6,122.5,-1.1934693877551021,8.69070266324446,0.01,1
41.0,0,1,11,-32.02382843853084,8.9463351233644,32.0,33.25,2.869172932330827,21.009505489922663,0.01,2
41.0,1,2,35,-48.6260440876959,13.629300656359945,48.8,50.49999999999999,2.8683168316831686,21.009505489922663,0.01,1
41.0,-1,2,35,-48.652937448422286,13.532984801584147,48.8,50.49999999999999,2.870297029702971,21.009505489922663,0.01,1
41.0,1,3,88,-85.13556475112043,24.16993203357803,85.60000000000001,88.5,2.8649717514124293,21.009505489922663,0.01,1
41.0,-1,3,88,-85.3373350983015,23.447584914446946,85.60000000000001,88.5,2.8734463276836157,21.009505489922663,0.01,1
41.0,1,4,135,-117.73064522367216,33.84885781260336,118.4,122.5,2.8616326530612244,21.009505489922663,0.01,1
41.0,-1,4,135,-118.21528891257262,32.115346289850066,118.4,122.5,2.876326530612245,21.009505489922663,0.01,1
43.0,0,1,8,-27.990262959567417,17.947358564821407,-5.25,33.25,2.5714285714285716,26.975789555489765,0.01,2
43.0,1,2,25,-42.48065598231454,27.306480317174604,-8.0,50.5,2.5702970297029704,26.975789555489765,0.01,1
43.0,-1,2,25,-42.534644898017255,27.22230672444153,-8.0,50.5,2.5722772277227723,26.975789555489765,0.01,1
