event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,n_merged,beamspot_z0
7.0,1,7,1091,-358.3985460092499,-260.3833370599117,979.9132634719311,443.0,-2.513289551887126,23.021788705138967,0.01,1,-87.79658348942264
7.0,-1,7,1091,-339.7369524891389,-284.3023093704879,980.3190825304401,443.0,-2.444793908838093,23.021788705138967,0.01,1,-87.79658348942264
7.0,1,8,1276,-417.7377340108718,-299.48486703581887,1150.0850556931966,514.0,-2.5196004926740234,23.021788705138967,0.01,1,-87.79658348942264
7.0,-1,8,1276,-392.1225588922115,-332.3189714834592,1151.0408268753633,514.0,-2.438559028270875,23.021788705138967,0.01,1,-87.79658348942264
8.0,0,1,18,-5.643567365921817,-32.76755479718165,-123.8480778088043,33.25,-1.7413533834586468,24.24634810176271,0.01,2,-58.59807780880431
8.0,1,2,56,-8.632186295767617,-49.75676195006224,-157.79807780880432,50.5,-1.7425742574257426,24.24634810176271,0.01,1,-58.59807780880431
8.0,-1,2,56,-8.48435607144647,-49.7821825762281,-157.79807780880432,50.5,-1.7396039603960398,24.24634810176271,0.01,1,-58.59807780880431
8.0,1,3,140,-15.3071576314351,-87.1661684671662,-232.5980778088043,88.5,-1.744632768361582,24.24634810176271,0.01,1,-58.59807780880431
8.0,-1,3,140,-14.666547030048193,-87.27624188870294,-232.5980778088043,88.5,-1.7372881355932202,24.24634810176271,0.01,1,-58.59807780880431
8.0,1,4,215,-21.51526991365683,-120.59578417400208,-299.3980778088043,122.5,-1.7473469387755105,24.24634810176271,0.01,1,-58.59807780880431
8.0,-1,4,215,-19.987682515075104,-120.85835737621358,-299.3980778088043,122.5,-1.7346938775510203,24.24634810176271,0.01,1,-58.59807780880431
8.0,1,5,604,-56.732039176082864,-293.56851965243726,-646.855466435799,299.00000000000006,-1.7616929038926272,24.24634810176271,0.01,1,-58.59807780880431
8.0,-1,5,604,-44.51561079446527,-295.66765192627287,-645.5696561799656,298.99999999999994,-1.7202335399207345,24.24634810176271,0.01,1,-58.59807780880431
8.0,1,6,763,-72.57650022933994,-363.8319002155537,-788.0393974555558,371.00000000000006,-1.7676900201113448,24.24634810176271,0.01,1,-58.59807780880431
8.0,-1,6,763,-53.06294702936043,-367.1856800755706,-787.710824660547,371.00000000000006,-1.7143153246349416,24.24634810176271,0.01,1,-58.59807780880431
8.0,1,7,922,-89.25885133972909,-433.9145739169314,-928.5664236332533,443.00000000000006,-1.773672400629625,24.24634810176271,0.01,1,-58.59807780880431
8.0,-1,7,922,-60.80350024781532,-438.807400071619,-929.223784835614,443.0,-1.7084849189493192,24.24634810176271,0.01,1,-58.59807780880431
8.0,1,8,1078,-106.4768850983797,-502.85054731972446,-1068.71593064868,514.0,-1.7794607439035133,24.24634810176271,0.01,1,-58.59807780880431
8.0,-1,8,1078,-67.60968780649385,-509.53403234200994,-1070.4090742944124,514.0,-1.7027149712729432,24.24634810176271,0.01,1,-58.59807780880431
10.0,0,1,10,32.484198400137586,7.0950232064806205,30.002818142527843,33.24999999999999,0.2150375939849624,17.96214608728148,0.01,2,5.7528181425278415
10.0,1,2,31,49.34954340045926,10.717862014701796,42.55281814252784,50.5,0.2138613861386138,17.96214608728148,0.01,1,5.7528181425278415
10.0,-1,2,31,49.31749051649323,10.86439732132436,42.55281814252784,50.5,0.2168316831683168,17.96214608728148,0.01,1,5.7528181425278415
10.0,1,3,78,86.5421627151632,18.51226816417201,70.15281814252785,88.5,0.2107344632768361,17.96214608728148,0.01,1,5.7528181425278415
10.0,-1,3,78,86.34943061160475,19.391385537182767,70.15281814252785,88.5,0.2209039548022598,17.96214608728148,0.01,1,5.7528181425278415
10.0,1,4,120,119.88639802471003,25.169457059316898,94.95281814252785,122.5,0.2069387755102041,17.96214608728148,0.01,1,5.7528181425278415
10.0,-1,4,120,119.43732722208765,27.220853514244617,94.95281814252785,122.5,0.2240816326530612,17.96214608728148,0.01,1,5.7528181425278415
10.0,1,5,339,293.7637762238029,55.7121510869173,222.25130243089131,299.00000000000006,0.1874236297688581,17.96214608728148,0.01,1,5.7528181425278415
10.0,-1,5,339,290.1842979688095,72.06991891454561,223.1698011837823,299.0,0.2434337168180684,17.96214608728148,0.01,1,5.7528181425278415
10.0,1,6,428,365.0306979723712,66.28415751749097,274.79667270841975,371.0,0.1796279249510736,17.96214608728148,0.01,1,5.7528181425278415
10.0,-1,6,428,359.3343720062205,92.3028119555147,275.4537500445925,371.0,0.2514355658082921,17.96214608728148,0.01,1,5.7528181425278415
10.0,1,7,517,436.4964381348753,75.62975271390876,329.8104757794769,443.0,0.171562166407228,17.96214608728148,0.01,1,5.7528181425278415
10.0,-1,7,517,428.1577338957744,113.70995956922722,326.2996792631417,443.0,0.259587220789546,17.96214608728148,0.01,1,5.7528181425278415
10.0,1,8,605,507.1311101100257,83.74984870776164,380.9070508513803,514.0,0.1636671612191008,17.96214608728148,0.01,1,5.7528181425278415
10.0,-1,8,605,495.72597293833184,135.83725466286597,380.32730609066374,514.0,0.2674519266600171,17.96214608728148,0.01,1,5.7528181425278415
13.0,0,1,8,7.999718128816925,-32.273317304849186,-27.9809166554612,33.25,-1.3278195488721805,19.63702502724616,0.01,2,-14.230916655461199
13.0,1,2,27,12.106155349684784,-49.02745152105399,-35.4309166554612,50.50000000000001,-1.3287128712871288,19.63702502724616,0.01,1,-14.230916655461199
13.0,-1,2,27,12.20321561343053,-49.00338282906727,-35.4309166554612,50.50000000000001,-1.326732673267327,19.63702502724616,0.01,1,-14.230916655461199
13.0,1,3,68,20.86711880723291,-86.00472866467766,-51.0309166554612,88.5,-1.332768361581921,19.63702502724616,0.01,1,-14.230916655461199
13.0,-1,3,68,21.692177769505992,-85.8003462907706,-51.0309166554612,88.5,-1.3231638418079097,19.63702502724616,0.01,1,-14.230916655461199
13.0,1,4,105,28.50872645497793,-119.13648692115795,-65.4309166554612,122.5,-1.3359183673469388,19.63702502724616,0.01,1,-14.230916655461199
13.0,-1,4,105,30.40149282741568,-118.66759976448748,-65.4309166554612,122.5,-1.32,19.63702502724616,0.01,1,-14.230916655461199
13.0,1,5,296,64.44921188824173,-291.9714011457021,-140.46978153140475,298.99999999999994,-1.3535421072662377,19.63702502724616,0.01,1,-14.230916655461199
13.0,-1,5,296,79.29039064602685,-288.2950466990379,-138.5843946837648,299.0,-1.3024002777508106,19.63702502724616,0.01,1,-14.230916655461199
13.0,1,6,375,77.34854507265997,-362.8473543725277,-169.41419232868313,371.0,-1.3607689814092427,19.63702502724616,0.01,1,-14.230916655461199
13.0,-1,6,375,101.04153835554897,-356.9756399626509,-167.22332319889026,371.00000000000006,-1.2949626854026668,19.63702502724616,0.01,1,-14.230916655461199
13.0,1,7,453,89.19201954348887,-433.928316257137,-198.79059804133732,443.0,-1.368074271151398,19.63702502724616,0.01,1,-14.230916655461199
13.0,-1,7,453,123.78481068269998,-425.3543471556958,-198.40197610153137,443.00000000000006,-1.2876022152483084,19.63702502724616,0.01,1,-14.230916655461199
13.0,1,8,530,99.8910758299202,-504.200131861884,-228.70242915343863,514.0,-1.375211123117001,19.63702502724616,0.01,1,-14.230916655461199
13.0,-1,8,530,147.201937385867,-492.4709023179413,-229.8037417685846,514.0,-1.280344566767061,19.63702502724616,0.01,1,-14.230916655461199
14.0,0,1,15,33.24458661306281,-0.5999674379206263,-54.50605208769299,33.25000000000001,-0.0180451127819548,11.868590176714402,0.01,2,-0.7560520876929958
14.0,1,2,48,50.49009933342682,-0.9999346482113346,-82.356052087693,50.50000000000001,-0.0198019801980197,11.868590176714402,0.01,1,-0.7560520876929958
14.0,-1,2,48,50.49366349885344,-0.7999665396480364,-82.356052087693,50.50000000000001,-0.0158415841584158,11.868590176714402,0.01,1,-0.7560520876929958
14.0,1,3,120,88.47139984564843,-2.2497576205883787,-143.95605208769302,88.49999999999999,-0.0254237288135593,11.868590176714402,0.01,1,-0.7560520876929958
14.0,-1,3,120,88.49542376825272,-0.8999844872965326,-143.95605208769302,88.49999999999999,-0.0101694915254237,11.868590176714402,0.01,1,-0.7560520876929958
14.0,1,4,185,122.44106595056849,-3.79939059436359,-198.756052087693,122.5,-0.0310204081632653,11.868590176714402,0.01,1,-0.7560520876929958
14.0,-1,4,185,122.49853061518245,-0.5999976010024612,-198.756052087693,122.5,-0.0048979591836734,11.868590176714402,0.01,1,-0.7560520876929958
14.0,1,5,521,298.455133813554,-18.042535862055225,-485.21549611630655,299.0,-0.0603796102481953,11.868590176714402,0.01,1,-0.7560520876929958
14.0,-1,5,521,298.9106232314747,7.31022019992655,-483.1684412055198,299.00000000000006,0.0244513333606407,11.868590176714402,0.01,1,-0.7560520876929958
14.0,1,6,658,370.0271488669783,-26.84975048999726,-602.2751760096024,371.0,-0.0724346198550207,11.868590176714402,0.01,1,-0.7560520876929958
14.0,-1,6,658,370.75030645721216,13.609197694327428,-597.2981396178697,371.0,0.0366907052347582,11.868590176714402,0.01,1,-0.7560520876929958
14.0,1,7,795,441.4203588642099,-37.37735651690887,-717.562453705728,443.0,-0.0844736940710896,11.868590176714402,0.01,1,-0.7560520876929958
14.0,-1,7,795,442.47557064966105,21.549231500376024,-718.4525395963321,443.0,0.048663067612278,11.868590176714402,0.01,1,-0.7560520876929958
14.0,1,8,930,511.6037321985058,-49.5744006575927,-833.5935273681285,514.0,-0.0965984109320171,11.868590176714402,0.01,1,-0.7560520876929958
14.0,-1,8,930,513.0605686014712,31.0620821313574,-832.1049103376108,514.0000000000001,0.0604689103188694,11.868590176714402,0.01,1,-0.7560520876929958
15.0,0,1,8,33.15977767400152,2.447783611921295,-41.6369767408111,33.25,0.0736842105263157,74.01545084851018,0.01,2,-38.3869767408111
15.0,0,2,25,50.3626736818705,3.721622578053725,-43.186976740811104,50.5,0.0737623762376237,74.01545084851018,0.01,2,-38.3869767408111
15.0,1,3,63,88.26506164809136,6.444291447368908,-47.186976740811104,88.5,0.0728813559322033,74.01545084851018,0.01,1,-38.3869767408111
15.0,-1,3,63,88.25027290130582,6.643743887677081,-47.186976740811104,88.5,0.0751412429378531,74.01545084851018,0.01,1,-38.3869767408111
15.0,1,4,97,122.18405427267248,8.792433195232762,-50.3869767408111,122.5,0.0718367346938775,74.01545084851018,0.01,1,-38.3869767408111
15.0,-1,4,97,122.147149114923,9.291068996448514,-50.3869767408111,122.5,0.0759183673469387,74.01545084851018,0.01,1,-38.3869767408111
15.0,1,5,275,298.32678686756867,20.053135347677195,-67.95825567362442,299.0,0.0671177228109598,74.01545084851018,0.01,1,-38.3869767408111
15.0,-1,5,275,298.02934509305345,24.0730027916262,-68.04055842634102,299.0,0.0805989510444282,74.01545084851018,0.01,1,-38.3869767408111
15.0,1,6,347,370.2112742699202,24.178759344554926,-74.64479142392156,371.0,0.0652180813177161,74.01545084851018,0.01,1,-38.3869767408111
15.0,-1,6,347,369.7314080537131,30.65429657680451,-72.4306752959259,371.0,0.0827204421907822,74.01545084851018,0.01,1,-38.3869767408111
15.0,1,7,420,442.1095053994491,28.07463687128408,-81.30446722766796,443.0,0.0634163958942046,74.01545084851018,0.01,1,-38.3869767408111
15.0,-1,7,420,441.41282700516433,37.46620017174008,-80.34666573311779,443.0,0.0846749634749891,74.01545084851018,0.01,1,-38.3869767408111
15.0,1,8,491,513.0311298163034,31.544569095285247,-89.59603735875075,514.0,0.0614093465958839,74.01545084851018,0.01,1,-38.3869767408111
15.0,-1,8,491,512.0761870237119,44.42947988955563,-89.7692137745165,514.0,0.0865466802058699,74.01545084851018,0.01,1,-38.3869767408111
17.0,0,1,17,-9.24745546097178,31.938175707096097,-21.927091131172716,33.25,1.8526315789473684,24.8603588185733,0.01,2,39.572908868827284
17.0,1,2,53,-13.989387729894007,48.5236749529824,-53.62709113117272,50.5,1.851485148514852,24.8603588185733,0.01,1,39.572908868827284
17.0,-1,2,53,-14.085446724679873,48.495878078102734,-53.62709113117272,50.5,1.8534653465346536,24.8603588185733,0.01,1,39.572908868827284
17.0,1,3,133,-24.269553155318604,85.10721937439365,-124.02709113117274,88.5,1.8485875706214687,24.8603588185733,0.01,1,39.572908868827284
17.0,-1,3,133,-24.89397421675488,84.92667453571664,-124.02709113117274,88.5,1.855932203389831,24.8603588185733,0.01,1,39.572908868827284
17.0,1,4,204,-33.25482726079284,117.89981536819651,-186.82709113117272,122.5,1.8457142857142856,24.8603588185733,0.01,1,39.572908868827284
17.0,-1,4,204,-34.7439190245925,117.46961347860372,-186.82709113117272,122.5,1.858367346938776,24.8603588185733,0.01,1,39.572908868827284
17.0,1,5,575,-77.14936406569197,288.8753634775028,-513.5509601546148,299.0,1.8317733650162047,24.8603588185733,0.01,1,39.572908868827284
17.0,-1,5,575,-88.78933097837317,285.51261741718685,-512.7569824500697,299.0,1.8722977990150524,24.8603588185733,0.01,1,39.572908868827284
17.0,1,6,727,-93.76830355581146,358.9547398325661,-646.6893070622654,371.0,1.8263123931779943,24.8603588185733,0.01,1,39.572908868827284
17.0,-1,6,727,-112.19588814945708,353.6284528744181,-645.2190547606457,371.0,1.8780213826578225,24.8603588185733,0.01,1,39.572908868827284
17.0,1,7,878,-109.43166338434678,429.2711393151594,-779.8337471783906,443.0,1.820404269270815,24.8603588185733,0.01,1,39.572908868827284
17.0,-1,7,878,-136.41763272818355,421.4726912634298,-780.2080543377788,443.0,1.8838238859943623,24.8603588185733,0.01,1,39.572908868827284
17.0,1,8,1027,-124.1257711632919,498.7873223460256,-909.5686972725799,514.0,1.8146971511594308,24.8603588185733,0.01,1,39.572908868827284
17.0,-1,8,1027,-161.0441726228081,488.1196313038794,-909.815038408705,514.0,1.8894786589834085,24.8603588185733,0.01,1,39.572908868827284
18.0,0,1,11,30.48728747215181,13.269807933439562,66.00063709430268,33.25,0.4105263157894736,16.761479079572354,0.01,2,35.000637094302675
