event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,beamspot_z0
10.0,1,5,722,-255.5044412904627,-155.3012571772956,729.1575011539916,299.0,-2.5954414201060456,4.851578813688177,0.01,5.7528181425278415
10.0,1,6,912,-322.65403175097924,-183.12666598515383,905.1113036650378,371.0,-2.625365025663575,4.851578813688177,0.01,5.7528181425278415
10.0,1,7,1103,-391.6747423061327,-206.97800907203785,1082.5674795254029,443.0,-2.6554499431958085,4.851578813688177,0.01,5.7528181425278415
10.0,1,8,1293,-461.3893333783304,-226.53009302231743,1256.987428179077,513.9999999999999,-2.685192010602976,4.851578813688177,0.01,5.7528181425278415
10.0,-1,1,25,-26.411908790907884,-20.19835572567141,86.00281814252784,33.25,-2.488721804511278,4.851578813688177,0.01,5.7528181425278415
10.0,-1,2,70,-39.97391844748709,-30.8599391437127,127.75281814252784,50.5,-2.484158415841584,4.851578813688177,0.01,5.7528181425278415
10.0,-1,3,170,-69.31481107690621,-55.02460327319773,219.75281814252784,88.50000000000001,-2.470621468926553,4.851578813688177,0.01,5.7528181425278415
10.0,-1,4,259,-94.9405654621862,-77.41149158697522,301.7528181425278,122.5,-2.457551020408163,4.851578813688177,0.01,5.7528181425278415
10.0,-1,5,722,-217.50948257481772,-205.15999851344085,730.4433114098242,299.0,-2.3854040078828924,4.851578813688177,0.01,5.7528181425278415
10.0,-1,6,912,-262.16993011923614,-262.5031956782143,905.439876460046,371.00000000000006,-2.3555593032582864,4.851578813688177,0.01,5.7528181425278415
10.0,-1,7,1103,-303.52804059359613,-322.67588780913314,1081.9101183230412,443.0,-2.3256263605587115,4.851578813688177,0.01,5.7528181425278415
10.0,-1,8,1293,-340.89253609754144,-384.692447070366,1255.2942845333444,513.9999999999999,-2.295902688749057,4.851578813688177,0.01,5.7528181425278415
11.0,1,1,25,1.2786624944568898,33.22540477142858,65.7690833445388,33.25,1.5323308270676692,30.425234685013383,0.01,-14.230916655461199
