pileup_event,particle_id,pdg_id,charge,mass,pT,eta,layer_id,trajectory_step,x,y,z,r,phi,pileup_z0
8,805,-211,-1.0,0.13957,0.2274886177596549,-1.2816719474012843,2,103,45.92982892969576,20.992875326855096,-55.6,50.49999999999999,0.4287128712871288,29.2001760986868
8,805,-211,-1.0,0.13957,0.2274886177596549,-1.2816719474012843,3,185,72.78716966351043,50.34161233388686,-122.0,88.5,0.6050847457627119,29.2001760986868
8,805,-211,-1.0,0.13957,0.2274886177596549,-1.2816719474012843,4,263,87.57777949758183,85.65268552866824,-186.0,122.5,0.7742857142857144,29.2001760986868
8,807,-211,-1.0,0.13957,0.3046990358498905,1.038208488228436,1,55,7.902619487330643,32.297230612522526,70.25,33.25,1.330827067669173,29.2001760986868
8,807,-211,-1.0,0.13957,0.3046990358498905,1.038208488228436,2,83,9.173990827332696,49.65972102519319,92.0,50.49999999999999,1.3881188118811885,29.2001760986868
8,807,-211,-1.0,0.13957,0.3046990358498905,1.038208488228436,3,148,4.813099091720598,88.36902215784261,140.0,88.5,1.5163841807909606,29.2001760986868
8,807,-211,-1.0,0.13957,0.3046990358498905,1.038208488228436,4,208,-7.971812594905685,122.2403378756444,184.8,122.5,1.6359183673469389,29.2001760986868
8,807,-211,-1.0,0.13957,0.3046990358498905,1.038208488228436,5,695,-256.57723900699733,153.52237759866202,548.397267845966,299.0,2.602389032143849,29.2001760986868
9,815,321,1.0,0.49368,0.7768733288098356,-1.3668042150672457,1,72,-17.237206654494774,28.433100547605445,-44.75,33.25,2.115789473684211,16.247615087470276
9,815,321,1.0,0.49368,0.7768733288098356,-1.3668042150672457,2,110,-25.19199511178997,43.76772078013145,-76.4,50.5,2.093069306930693,16.247615087470276
9,815,321,1.0,0.49368,0.7768733288098356,-1.3668042150672457,3,193,-40.338352693829535,78.77224956765049,-146.4,88.49999999999999,2.04406779661017,16.247615087470276
9,815,321,1.0,0.49368,0.7768733288098356,-1.3668042150672457,4,268,-50.977987477024946,111.38893478614601,-209.20000000000002,122.5,2.0,16.247615087470276
9,815,321,1.0,0.49368,0.7768733288098356,-1.3668042150672457,5,670,-57.155018104417856,293.48646289988176,-546.6499424917939,299.0,1.7631339234485868,16.247615087470276
9,815,321,1.0,0.49368,0.7768733288098356,-1.3668042150672457,6,844,-33.14302876798376,369.5166297260308,-693.1313626442035,371.0,1.66024988875545,16.247615087470276
9,815,321,1.0,0.49368,0.7768733288098356,-1.3668042150672457,7,1029,8.66982944384037,442.9151544680028,-848.3565528692301,443.0,1.5512243561801606,16.247615087470276
9,815,321,1.0,0.49368,0.7768733288098356,-1.3668042150672457,8,1226,69.6361373015932,509.2610414921935,-1013.9742326881748,514.0,1.434899557815302,16.247615087470276
9,816,-211,-1.0,0.13957,0.2053319995152738,-1.4502488934919051,1,78,-5.100800311140318,-32.85642001475314,-51.0,33.25,-1.724812030075188,16.247615087470276
9,816,-211,-1.0,0.13957,0.2053319995152738,-1.4502488934919051,2,119,-3.422160877974062,-50.38391424775633,-86.4,50.49999999999999,-1.6386138613861387,16.247615087470276
9,816,-211,-1.0,0.13957,0.2053319995152738,-1.4502488934919051,3,215,11.483008074306,-87.7518690716353,-168.0,88.5,-1.4406779661016949,16.247615087470276
9,816,-211,-1.0,0.13957,0.2053319995152738,-1.4502488934919051,4,308,38.98267708140539,-116.13182547246413,-248.4,122.5,-1.2469387755102042,16.247615087470276
9,829,-211,-1.0,0.13957,0.3003515672677286,-1.7290182502668603,1,98,21.46149440601849,25.3961957359845,-74.75,33.25,0.8691729323308272,16.247615087470276
