pileup_event,particle_id,pdg_id,charge,mass,pT,eta,layer_id,trajectory_step,x,y,z,r,phi
5,452,211,1.0,0.13957,0.1422697896382178,-1.118034344112908,3,186,-14.397711979373522,87.32099340799441,-130.48650046027964,88.49999999999999,1.7342086499671654
5,452,211,1.0,0.13957,0.1422697896382178,-1.118034344112908,4,288,24.715587760373193,119.98078896914826,-201.67380093708599,122.5,1.3676418851318486
5,453,-211,-1.0,0.13957,1.34871986695343,0.5093853217205342,1,37,2.5624856791102015,33.15111109969552,17.68087114046234,33.25000000000001,1.493652595369037
5,453,-211,-1.0,0.13957,1.34871986695343,0.5093853217205342,2,57,3.246842241786366,50.39551582687642,26.857217503088368,50.5,1.5064580430627321
5,453,-211,-1.0,0.13957,1.34871986695343,0.5093853217205342,3,100,3.1947792845061582,88.4423167116471,47.08947063988922,88.5,1.534689280779148
5,453,-211,-1.0,0.13957,1.34871986695343,0.5093853217205342,4,139,1.323244717911038,122.49285294831091,65.22345826539106,122.5,1.5599941190181055
5,453,-211,-1.0,0.13957,1.34871986695343,0.5093853217205342,5,343,-36.354255101562835,296.7816843001106,160.31254956352853,299.00000000000006,1.6926840466597748
5,453,-211,-1.0,0.13957,1.34871986695343,0.5093853217205342,6,427,-65.34223580678953,365.2004822282823,199.84140183410332,371.0,1.7478444627316363
5,453,-211,-1.0,0.13957,1.34871986695343,0.5093853217205342,7,513,-102.32836995302532,431.0196105779373,240.00548442978487,442.99999999999994,1.803890940457202
5,453,-211,-1.0,0.13957,1.34871986695343,0.5093853217205342,8,599,-146.71088716058216,492.6174129977085,280.3945275481841,514.0,1.860251119998586
5,454,-211,-1.0,0.13957,0.1876316813254529,1.5776887252205622,1,88,-13.52792805073283,-30.37363433397781,77.50494064591963,33.25,-1.9898048857716093
5,454,-211,-1.0,0.13957,0.1876316813254529,1.5776887252205622,2,134,-16.10508533331366,-47.86309879653307,118.55576382747269,50.50000000000001,-1.8953782644265331
5,454,-211,-1.0,0.13957,0.1876316813254529,1.5776887252205622,3,242,-9.339573452763066,-88.00580871579128,213.70312785208478,88.5,-1.6765251029726038
5,454,-211,-1.0,0.13957,0.1876316813254529,1.5776887252205622,4,351,14.018623526270844,-121.69522667068205,309.5301221581795,122.49999999999999,-1.4561073207551343
5,455,-211,-1.0,0.13957,1.9325499564553736,1.0315739035762337,1,52,19.62472035371646,26.84088022100667,40.71717654086182,33.25,0.9394685066160279
5,455,-211,-1.0,0.13957,1.9325499564553736,1.0315739035762337,2,79,29.4406175557464,41.03047694015117,61.84511803079879,50.5,0.9484015794838166
