event,pT,eta,phi,px,py,pz,E
73,6.132093405656406,-0.6723874060542969,1.2357362799517355,2.016390998944739,5.79109116445851,-4.440923590994301,7.571286012081732
74,8.340513801965855,1.4659211438625264,-0.7952781834925716,5.839078228973163,-5.955613815276688,17.100831241122794,19.026365906765918
75,28.22563854169039,1.6390365393366573,-1.9917906818981672,-11.534920500749502,-25.76106131601621,69.9436696744348,75.42415792445155
76,88.14923174624776,-1.8430163847263303,-1.0120216623359604,46.73210608563901,-74.74220573581084,-271.3771338060592,285.3346032472148
76,0.6844662291539183,-1.2055052558468349,-2.43394494658199,-0.5201211513521339,-0.4449359580527459,-1.0400138561323888,1.2450392924721474
77,4.495567469372665,-1.5423406809960103,3.051903901444576,-4.477498251963719,0.4026614897697332,-10.028805163224982,10.990316641189631
78,0.8892965215030066,-1.8778241047922175,0.8289299808297043,0.6008665113353879,0.6555972381828554,-2.839674145477828,2.9756675815105047
79,4.46989253226278,1.1212559507771604,-2.5512793922146133,-3.713436312469585,-2.4880373797856934,6.130090332798628,7.586695376661024
80,6.280442204680735,2.33620854261737,3.0460312791297346,-6.251787596093665,0.5992546534357513,32.17237384695414,32.7796521219264
81,7.9813187279755216,-1.8797000525708645,0.3504242001151891,7.496271410079053,2.7399568580479894,-25.535844444486777,26.754080065114536
82,3.158217971168275,-2.1081833721768675,2.8586407873085444,-3.0326329731526886,0.8817471313008856,-12.809435994026126,13.19302812998071
83,16.92741751919889,-0.4310542840767458,-2.632945283424164,-14.78447471537792,-8.243589707138055,-7.524706396368291,18.524542375476575
84,2.1347372204601256,1.968242213504052,0.1305999098104198,2.116557684078077,0.278004622961323,7.491199397298832,7.789426898720355
85,58.85698516818503,-2.0879535780300507,-2.8751997033550345,-56.7809073176702,-15.494297895358129,-233.7930826400083,241.08784746105655
86,1.2008383849882098,0.2709138551067194,-0.4967656351971778,1.05569137546452,-0.5723010978767403,0.3293178711744187,1.2451759261790851
87,1.2537533881013825,0.1945824809629988,0.926678326122282,0.752870633911773,1.0025384614911192,0.2455008348113392,1.277563391017745
88,46.6460936794017,-1.2348918666548472,-1.6451218513878154,-3.4638041535629767,-46.51730985701215,-73.40090586243032,86.96867848238743
89,34.116097896587995,-1.4946445707272735,-1.0824007110413534,16.007603449679884,-30.127475292287144,-72.21394583326284,79.8671528758788
90,0.9514235975827348,-1.8356079043611275,-1.0969269785790154,0.4341656750255092,-0.8465855117275026,-2.906326700019492,3.058094463760637
91,36.181256858606986,-0.4866350180933863,-1.463112321100466,3.888617189664984,-35.97168336651396,-18.310273863544644,40.55057924156572
92,16.463491119965287,1.0183694745014769,-0.2702227190854744,15.866055167332393,-4.3948644216108645,19.817872320773887,25.76421167394166
93,1.2910558695378025,1.8705606029752384,1.0747676882910429,0.6144607015724597,1.135457310730391,4.091289879726331,4.290160619163238
94,6.744466089790132,-2.154030501025534,2.1056144447869927,-3.437550255763109,5.802677922772552,-28.675830533036493,29.45829390164605
95,9.778501766444384,-0.6330530941454995,-1.4516672837004805,1.1621501802356335,-9.709196864567852,-6.612142873025429,11.804216626682896
96,1.9641519430680137,0.3378564371530649,2.2171271717206458,-1.1829328669593062,1.567980448770102,0.6762983084297594,2.0773233396471547
97,16.339624000067413,2.1222476372646857,-0.7630604513925072,11.80904182917865,-11.29291120749154,67.23854766811486,69.19541606913664
98,36.64914680979792,2.0729109218826767,0.2983969544828783,35.02958413499084,10.77442328924008,143.33676048876265,147.94791944903798
99,326.0602207160842,-1.503035887646519,2.6652058070274327,-289.7558959247405,149.52186565941614,-696.605140494501,769.1384721211032
100,245.71392073068247,-0.118719278581625,-0.1179634188511861,244.0063024494544,-28.91807749124252,-29.239551641800062,247.44753427960765
101,4.270658859952826,0.8181637270065055,0.8090099255097914,2.947673629900064,3.0902665369973112,3.897175340591254,5.781565768319698
103,54.16414551312804,-1.6121907947218608,1.1556910715387854,21.843655071827587,49.564194659757455,-130.38212183572995,141.18517044489636
104,1.385211980507926,-2.032111610657161,-1.6154931549320046,-0.0618939683269819,-1.38382851814357,-5.193937405894817,5.37548118844221
105,87.09773080524485,0.7777935064586904,-2.353471591478314,-61.41947173418918,-61.75486380291058,74.78409617256615,114.79841354204562
106,0.9144139701696874,0.1289022696440626,-2.055781422076292,-0.4262953795341725,-0.808965486426526,0.1181967248358764,0.9220213525745582
107,155.7636494139598,-1.5902204659757155,2.1944961541914147,-90.97257355995448,126.43696191633856,-366.1185248585639,397.8757201983627
108,54.44701286878351,0.0787115110883678,1.398589637154537,9.329866715920598,53.64168898717335,4.290033275603535,54.615763254204026
109,9.134773143282994,1.0007845583340835,0.1072658283447789,9.082271354792084,0.9779710717436452,10.746258498986473,14.10411826759416
110,2.1327801719925312,-1.5928222209484568,-1.546027650397661,0.0528207407107408,-2.132125988630892,-5.02723696891828,5.460939736318571
111,30.28903676328643,-1.1109559213016833,-0.2463099268310201,29.374876126626056,-7.385282702313523,-41.01160278323447,50.98408880128704
112,16.519153796391926,-1.9585266743399716,-1.2574224434982475,5.092358820890503,-15.714653155197173,-57.38596305350345,59.71625572427421
113,87.93572784558842,0.5311225077733035,-0.6350027542652099,70.79442193041305,-52.16169145332661,48.931651858612994,100.63299054160072
115,10.468818255436757,0.3640532187911142,-0.9937559149587863,5.711221456381927,-8.773716723346416,3.895952851488207,11.17025533666912
116,71.53417630203661,0.3119037004581272,-0.606648385493248,58.769864064753015,-40.78285739157212,22.67530086930451,75.042039209528
116,0.7915146562722252,-0.8762259542963059,-0.4600271162074891,0.7092291559170236,-0.3514106650216593,-0.7857630081116053,1.1153111476221949
117,1.6517362014968289,-1.3598806365419664,-3.0061347306382924,-1.6366056294689806,-0.2230571517024607,-3.005364453303553,3.4293509555768336
