event,px,py,pz,E,pT,eta,phi
8655,-0.72357563161,31.625571558,36.624647826,48.394887813,31.633847980681047,0.9886533751691874,1.5936717841890637
8656,-1.9771747721,34.745073392,-83.599003493,90.553424729,34.801283670216755,-1.6102766668172246,1.6276402057638282
8657,-7.2844425889,16.108515807,-27.962766073,33.082679332,17.679009738538777,-1.2392405480569175,1.995487119210951
8658,2.6098306121,5.3092349165,-30.305100941,30.877149063,5.916011428524883,-2.3361946381923775,1.1139199824536898
8659,-193.15167355,110.4280555,-22.125343444,223.58769031,222.49027942064535,-0.09928091290653487,2.622229291068076
8660,1.7307319234,0.90113151022,4.4370347536,4.8471381653,1.9512741963617624,1.5598285205063351,0.4800425945522018
8661,148.63330659,14.313361222,-221.83250892,267.40679526,149.3209032163561,-1.186754041478912,0.09600378537257394
8662,-1.213735547,0.83084156957,3.586947218,3.876808228,1.4708676663034408,1.624206222687352,2.541323087250205
8663,-10.800999688,1.300643784,64.542042184,65.452490234,10.87902884052772,2.4806554147829307,3.021750860051507
8664,-0.31969010037,-2.2003624908,5.4790595126,5.913027143,2.223465055087253,1.6338521466756162,-1.7150765132277384
8665,51.843233382,12.630035954,-19.679444201,56.872833407,53.35952263373289,-0.3609214194474822,0.23896477332161728
8666,10.755411557,-13.307148722,1.3250425307,17.161434165,17.110204115377332,0.07736445789724485,-0.8910492565861018
8667,-16.591677062,-59.260405284,209.15587953,218.02124053,61.539250744168406,1.9375235335929308,-1.843785682463971
8668,-1.0272532624,-0.48629456553,1.3037859305,1.7296211788,1.1365437385228316,0.9816945974536084,-2.6994562520867906
8669,1.6330266913,0.020112545322,-3.1377742637,3.5373447696,1.6331505408190499,-1.4078760404278958,0.012315492812502155
8670,30.084976233,-44.84280223,47.410038353,71.858850835,53.99983987734656,0.7923994358032989,-0.9798695968253337
8671,-1.5351037329,1.134606801,-6.1158065971,6.4067906472,1.9088939372419222,-1.8810108079120798,2.5050992198502113
8672,0.59333702525,0.18560024097,2.6372858069,2.7095705753,0.6216882458118709,2.151825320499432,0.30316493928518123
8673,0.29475949629,-2.1860779345,2.0973346513,3.0437858886,2.2058603528693563,0.8461534440831945,-1.4367697937544297
8674,-1.158784466,3.0136280346,1.0525982141,3.3959826811,3.228735877951302,0.3204944537749188,1.937882501735553
