event,n_hard_nu,sum_px,sum_py,met_hard_nu
1309,2,-26.702853825207516,-5.524602725086531,27.268363311362002
1312,2,32.79032053168152,-15.518051892321392,36.27692179751742
1318,2,0.029407784461518816,31.59143084193171,31.59144452946622
1322,2,-22.355835054917293,-71.98413110772304,75.37571553449115
1323,2,-10.611381006317753,143.58905085709293,143.98061304530572
1331,2,-23.545106187690294,38.8997437827606,45.47045295303351
1335,2,-10.219864312876943,47.00475330614084,48.10293608445096
1336,2,48.66873349397113,-18.619584283723647,52.10887197786838
1339,2,2.8847550016560985,-155.1794822678783,155.20629345598826
1348,2,-6.432746735229174,112.79034225558732,112.97363204169426
1364,2,23.097377083624018,27.41227691581208,35.84580524764765
1366,2,24.54227537517889,-18.00305236506752,30.437364784923073
1368,2,29.050614050669658,-29.0884125665065,41.110508660928275
1372,2,34.734674838177696,34.49162848017662,48.95069020277922
1375,2,-24.44780628120988,-29.556695051005704,38.35744327117894
1379,2,125.08699932179198,-52.82102581416118,135.78224540561357
1387,2,-23.808935070021644,-11.828412772571433,26.585272951144162
1389,2,-38.7654684215251,-1.091535115209048,38.78083277661781
1390,2,2.709791388102616,-56.16194390932425,56.227279082675864
1396,2,-127.15135745653029,-21.040598345513846,128.88046586576098
1399,2,-26.44627391786728,78.26306884791013,82.61061281476847
1404,2,-18.657985651037166,-69.06463167380055,71.54050444882286
1411,2,-1.1465471565510015,15.633703363716112,15.675689817257284
1419,2,21.832690379682944,42.65541355101196,47.91816643427579
1431,2,5.746822230104218,-16.142235787529415,17.134694101868742
1438,2,45.422491869176056,20.92773820222655,50.01172856307106
1440,2,0.28470095448553456,-8.579870522088427,8.584592757334905
1451,2,-26.78452089685901,-76.26254610077773,80.82936655354615
1456,2,118.62938225101978,-75.32132400578669,140.52128729570927
1465,2,127.7264291619145,-12.543799004098485,128.34090384561262
1487,2,8.185827606200768,-41.69845636090709,42.494341228932015
1489,2,-4.043684136954124,-71.92187260137234,72.0354575184158
1490,2,-46.495159685986664,3.7769530227064383,46.64831452862076
1494,2,26.111949604461017,-7.025160550315437,27.040465841098598
1505,2,68.11563554739386,-30.67375354121269,74.70354049395814
1509,2,18.088992519023584,-40.77340602768792,44.60585487861418
1510,2,-49.010141123267715,56.31778092590794,74.65712545592133
1511,2,65.85379950798705,183.0729066391268,194.5569635220919
1512,2,44.78670515873226,-11.353060451267602,46.203256817949004
1514,2,10.856470584003914,24.742395900406756,27.0194209492692
1519,2,1.8111811454459144,23.317976082011118,23.38821039974759
1520,2,121.13395340591396,25.50283589936867,123.78945555521383
1528,2,26.30390964608941,-56.4649610125937,62.29115093513172
1529,2,-41.99179578896039,-59.68436127148721,72.97625568612817
1530,2,-26.214580810954125,86.80782213471683,90.67966823310877
1533,2,0.7179307746406671,-7.217448751093681,7.253067700762201
1537,2,-36.17777024984922,-8.388587755958255,37.13757483722231
1543,2,-3.1582082850298185,53.1951113076314,53.28878068226862
