event,particle,charge,x,y,z,px,py,pz,E,photon_pT,weight,eta
90.0,electron,-1,22.78540650597134,5.751108619878334,-51.39920983603289,0.6290171114,0.15876590705,-1.4189337587999995,1.5602058042251046,1.2974885582160782,0.01,-1.5243511844562883
91.0,positron,1,6.051693144771633,-22.70742191622651,-11.742581051105397,4.519805068100001,-16.959405939,-8.770136898499999,19.62053487741458,35.10271144270259,0.01,-0.4809294366101002
91.0,electron,-1,6.051693144771633,-22.70742191622651,-11.742581051105397,4.519805068100001,-16.959405939,-8.770136898499999,19.62053487741458,35.10271144270259,0.01,-0.4809294366101002
92.0,positron,1,22.541451901166727,-6.643263218282635,26.45458439710896,8.11270092,-2.3909199753,9.521042926500002,12.735096110902072,16.915367515446704,0.01,0.967542533720601
92.0,electron,-1,22.541451901166727,-6.643263218282635,26.45458439710896,8.11270092,-2.3909199753,9.521042926500002,12.735096110902072,16.915367515446704,0.01,0.967542533720601
95.0,positron,1,2.162724373496298,-23.40026972674215,-16.086291642507934,0.4526505453050004,-4.8975935084,-3.36680382075,5.960426382156191,9.83693340217097,0.01,-0.6399412649736581
95.0,electron,-1,2.162724373496298,-23.40026972674215,-16.086291642507934,0.4526505453050004,-4.8975935084,-3.36680382075,5.960426382156191,9.83693340217097,0.01,-0.6399412649736581
96.0,positron,1,-14.195569924234444,18.727941545353307,12.624697082982712,-0.4018242172699999,0.530118938,0.357358602065,0.7551118860677184,1.3303966175707092,0.01,0.5142532812671234
96.0,electron,-1,-14.195569924234444,18.727941545353307,12.624697082982712,-0.4018242172699999,0.530118938,0.357358602065,0.7551118860677184,1.3303966175707092,0.01,0.5142532812671234
99.0,positron,1,-21.27172640764883,9.988175791311209,-51.06485335532278,-147.43314687499998,69.22748818000004,-353.92764464,389.6071810908976,325.75437321501835,0.01,-1.5184191446398105
99.0,electron,-1,-21.27172640764883,9.988175791311209,-51.06485335532278,-147.43314687499998,69.22748818000004,-353.92764464,389.6071810908976,325.75437321501835,0.01,-1.5184191446398105
100.0,positron,1,23.30308182824354,-3.035848696194495,0.160528476524999,116.158740915,-15.132777919999992,0.8001853939999883,117.14305081906868,234.2806356362739,0.01,0.0068309458768769
100.0,electron,-1,23.30308182824354,-3.035848696194495,0.160528476524999,116.158740915,-15.132777919999992,0.8001853939999883,117.14305081906868,234.2806356362739,0.01,0.0068309458768769
101.0,positron,1,16.025236102857093,17.188420749088195,25.562225283531845,1.44350239255,1.5482783727000002,2.3025641007,3.127725453824317,4.233610788283748,0.01,0.9420843948542857
101.0,electron,-1,16.025236102857093,17.188420749088195,25.562225283531845,1.44350239255,1.5482783727000002,2.3025641007,3.127725453824317,4.233610788283748,0.01,0.9420843948542857
103.0,positron,1,9.50561270327984,21.491703681542905,-58.10825663223984,11.214104312000003,25.3545157425,-68.55234603000004,73.94614087478779,55.44754653028743,0.01,-1.6370410957060122
103.0,electron,-1,9.50561270327984,21.491703681542905,-58.10825663223984,11.214104312000003,25.3545157425,-68.55234603000004,73.94614087478779,55.44754653028743,0.01,-1.6370410957060122
105.0,positron,1,-11.77789163219582,-20.335468243939005,-8.703223500102316,-5.9220419515000025,-10.2248772365,-4.376068000150002,12.600343904781274,23.632071037200426,0.01,-0.362367294334572
105.0,electron,-1,-11.77789163219582,-20.335468243939005,-8.703223500102316,-5.9220419515000025,-10.2248772365,-4.376068000150002,12.600343904781274,23.632071037200426,0.01,-0.362367294334572
106.0,positron,1,-10.369944662093792,-21.08824904313093,0.5771778767914872,-0.205727641955,-0.4183663355950001,0.0114505378234999,0.4663532654973054,0.9324253394745402,0.01,0.02455829208268693
106.0,electron,-1,-10.369944662093792,-21.08824904313093,0.5771778767914872,-0.205727641955,-0.4183663355950001,0.0114505378234999,0.4663532654973054,0.9324253394745402,0.01,0.02455829208268693
107.0,positron,1,-11.53077978129576,20.476599269294223,-54.3711078295307,-36.17699098600001,64.24385525,-170.58543439,185.8371277226622,147.45911452581123,0.01,-1.5757132320437646
107.0,electron,-1,-11.53077978129576,20.476599269294223,-54.3711078295307,-36.17699098600001,64.24385525,-170.58543439,185.8371277226622,147.45911452581123,0.01,-1.5757132320437646
108.0,positron,1,-6.609454522951445,22.551388225762,4.463584398659093,-6.443241937999996,21.984272661500004,4.351335513599999,23.31861342101401,45.818058061283146,0.01,0.1888158346166583
108.0,electron,-1,-6.609454522951445,22.551388225762,4.463584398659093,-6.443241937999996,21.984272661500004,4.351335513599999,23.31861342101401,45.818058061283146,0.01,0.1888158346166583
109.0,positron,1,23.325902409024412,2.855219221823289,27.37202744236976,4.498211395299999,0.5506059064499996,5.278473843999999,6.956964765098104,9.063569411887215,0.01,0.9932207082435839
109.0,electron,-1,23.325902409024412,2.855219221823289,27.37202744236976,4.498211395299999,0.5506059064499996,5.278473843999999,6.956964765098104,9.063569411887215,0.01,0.9932207082435839
111.0,positron,1,22.58799274209212,-6.483254112187328,-32.80071364145794,14.2776415405,-4.09799929045,-20.7329990315,25.50493863908948,29.708224190855965,0.01,-1.1355238871203759
111.0,electron,-1,22.58799274209212,-6.483254112187328,-32.80071364145794,14.2776415405,-4.09799929045,-20.7329990315,25.50493863908948,29.708224190855965,0.01,-1.1355238871203759
113.0,positron,1,20.95305015542204,-10.640474105244024,23.354160983246736,23.2599387115,-11.8119688405,25.925406998000007,36.77871782381254,52.17460519262907,0.01,0.8769785267157499
113.0,electron,-1,20.95305015542204,-10.640474105244024,23.354160983246736,23.2599387115,-11.8119688405,25.925406998000007,36.77871782381254,52.17460519262907,0.01,0.8769785267157499
114.0,positron,1,-10.3772145115215,21.08467260788907,62.28965669460547,-0.16995940211,0.34532757766,1.0201882979000003,1.090376768566816,0.7697722630963316,0.01,1.7017634663007688
