event,particle,charge,x,y,z,px,py,pz,E,photon_pT,weight
40.0,positron,1,-16.560359072670476,-16.673467167455627,33.10215811039095,-47.920576246714155,-48.2478762198903,95.7874454713728,117.4711619823275,136.00351741844034,0.01
40.0,electron,-1,-16.560359072670476,-16.673467167455627,33.10215811039095,-47.920576246714155,-48.2478762198903,95.7874454713728,117.4711619823275,136.00351741844034,0.01
41.0,positron,1,-9.756555921087134,21.378952653455677,-33.251251332192204,-10.827489088346423,23.725623923833687,-36.90109131594657,45.18661628005883,52.15897815461688,0.01
41.0,electron,-1,-9.756555921087134,21.378952653455677,-33.251251332192204,-10.827489088346423,23.725623923833687,-36.90109131594657,45.18661628005883,52.15897815461688,0.01
42.0,positron,1,-4.650535905413842,-23.03524507775979,-111.57412623055089,-0.05608612720178866,-0.2778083454966128,-1.3455998971882437,1.3751226177345324,0.5668267124688483,0.01
42.0,electron,-1,-4.650535905413842,-23.03524507775979,-111.57412623055089,-0.05608612720178866,-0.2778083454966128,-1.3455998971882437,1.3751226177345324,0.5668267124688483,0.01
43.0,positron,1,12.457226156344722,19.926553050883662,-117.5017396275896,95.3597829851993,152.5373105318089,-899.4731451964072,917.2857015373014,359.7839313547052,0.01
43.0,electron,-1,12.457226156344722,19.926553050883662,-117.5017396275896,95.3597829851993,152.5373105318089,-899.4731451964072,917.2857015373014,359.7839313547052,0.01
44.0,positron,1,-22.409423741996513,7.075855252310001,-133.5963253142715,-56.21423285656802,17.749843967084825,-335.1275350255474,340.2727753858775,117.89990562351284,0.01
44.0,electron,-1,-22.409423741996513,7.075855252310001,-133.5963253142715,-56.21423285656802,17.749843967084825,-335.1275350255474,340.2727753858775,117.89990562351284,0.01
