event,layer,forward_xn3,abs_xn1_mm,abs_xn2_mm,cur_ds_before,trial_ds,trial_dw,ds_ratio,dw_ratio,result
10,802,33.921232717965985,0.09900856096065844,0.6820324027862055,3.0502422146274427e-06,0.03282661651797539,0.6970679415444901,10761.97042994005,0.997082285686454,3x_ds
11,1304,378.34770473396173,1.787853965931097e-06,0.7011880351874678,,3.924904618469211e-06,0.8766192288318922,1.0188569353267019,0.9333994144744723,accepted
11,1304,378.3483914172875,4.081424054902189e-06,0.0795800365963149,,3.3337447399885295e-06,0.7847865117572269,0.849382358058106,0.8952421826326651,accepted
11,1302,304.9222755185605,1.2932968458765851e-06,0.12799666534116386,,3.255093708264654e-06,0.7181797794279839,0.9764076023036647,0.915127577587817,accepted
11,1302,304.9222720882569,1.9762288131660244e-06,0.13862438631888896,,3.308165125091804e-06,0.6668326428018427,1.0163041133631274,0.928503784014863,accepted
11,808,124.90636132925678,0.09995833071385891,0.030130006041273628,3.308165125091804e-06,0.03514429518613158,0.6238550807413523,10623.500900716466,0.935549702726143,3x_ds
11,808,124.90595539067967,0.09995676699665342,0.31986963949872865,3.308165125091804e-06,0.034589265442380585,0.6338557531169934,10455.725193409355,0.9505469775050457,3x_ds
11,806,90.23302965564048,0.09944071842996005,0.021695801995658254,3.308165125091804e-06,0.03505529485711431,0.6238118647292199,10596.597670178722,0.9354848948427874,3x_ds
11,806,90.23286891004803,0.09944269410321349,0.17169569789753295,3.308165125091804e-06,0.03489420456107956,0.6267041714156764,10547.902913434898,0.9398222750200742,3x_ds
11,804,51.47106341895885,0.09673602340799681,0.9850241942664832,3.308165125091804e-06,0.029833100200783953,0.7144367755673088,9018.020283965137,1.071388425985637,3x_ds
11,804,51.469473875644006,0.09688446470791012,1.0648344307434134,3.308165125091804e-06,0.02929780856158796,0.7286064140298485,8856.211057715847,1.0926375933974224,3x_ds
11,802,33.92034929044568,0.09892381669838696,0.7246503243987733,3.308165125091804e-06,0.03233477070060271,0.6744229088332442,9774.231175871366,1.0113825651958328,3x_ds
11,802,33.92136840361686,0.0990384763737599,0.6752458858084543,3.308165125091804e-06,0.0326848248072795,0.6679731630145374,9880.046361462224,1.001710354501997,3x_ds
12,1304,378.3449847099666,2.094335723724837e-05,1.593648674773104,,3.926167939992207e-06,0.7877556507212614,1.2983367700144899,2.6125561678615563,accepted
12,1304,378.3478427200699,2.24997598736646e-06,0.6508232514145262,,4.121584020814025e-06,0.755918946486324,1.0497727259273084,0.9595855590425939,accepted
12,1302,304.92220365979836,5.483493203043194e-06,0.24936204284024327,,3.8730377520226155e-06,0.6970084258370366,0.9396964207119766,0.9220676754788112,accepted
12,1302,304.91813028023904,7.5775622071946294e-06,1.561160182219022,,4.105504317220862e-06,0.8613677064197909,1.060021765880502,1.2358067341659111,accepted
12,808,124.906326923385,0.09995571925248949,0.09748519200077004,4.105504317220862e-06,0.03511663478357005,0.8064659762883922,8553.549593473948,0.9362621448166504,3x_ds
12,808,124.90610971808259,0.0999572919863473,0.25251462155074383,4.105504317220862e-06,0.03493710933642691,0.8106227968561514,8509.821604590803,0.9410879823036821,3x_ds
12,806,90.23302829805068,0.09943925976066431,0.026758116636584155,4.105504317220862e-06,0.03505501722494355,0.8057910378699547,8538.541069827283,0.9354785788512592,3x_ds
12,806,90.23294809898852,0.09944251178541513,0.12324184393390533,4.105504317220862e-06,0.03500761305213761,0.806908560850902,8526.994577814814,0.9367759608782593,3x_ds
12,804,51.470933857692046,0.09681075782972459,0.9917638298808584,4.105504317220862e-06,0.03135648724095371,0.8787025967106484,7637.670020081686,1.0201248435037211,3x_ds
12,804,51.46961300389489,0.09681022049925292,1.0580949912468733,4.105504317220862e-06,0.03101699713042573,0.8883153654215152,7554.978568728447,1.0312847333384836,3x_ds
12,802,33.920853669125194,0.0988949811837255,0.7006469442545077,4.105504317220862e-06,0.033406085408380234,0.842988460269364,8136.90178530705,0.9786627174278233,3x_ds
12,802,33.92088199345502,0.09906937171089733,0.6992496304526195,4.105504317220862e-06,0.03347074782683415,0.8428435301179992,8152.651962010722,0.9784944615827472,3x_ds
13,1304,378.3484058048478,1.4306774198926466e-06,0.048968273376397066,,2.2470968298998957e-06,0.4067602443975765,1.3179654624918598,0.8673935280301673,accepted
13,1304,378.3483904658659,3.2152165028834796e-06,0.1307266385618339,,2.726787254852452e-06,0.36795070057231205,1.2134711858295513,0.9045886505384947,accepted
13,1302,304.9200732404723,2.2439420329861164e-06,1.1509537830527417,,2.36418468657476e-06,0.564138382736932,0.8670220540189109,1.53319013079597,accepted
13,1302,304.92212287513905,1.918998971193325e-06,0.3316301717740066,,8.60740108331898e-07,0.5361690067252917,0.364074817513069,0.9504210724398043,accepted
13,808,124.90617613389435,0.09995528841871693,0.21719242362960303,8.60740108331898e-07,0.03474584511597653,0.5073495961024999,40367.40565431937,0.9462493910291283,3x_ds
13,808,124.90629435855183,0.0999589885588188,0.13280743733595754,8.60740108331898e-07,0.03499748230016249,0.5037203161310415,40659.755437662956,0.9394804806185387,3x_ds
