trial,event,mode,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double
9,4,rphi_only,True,0.0718962726021331,0.731522444701297,16,True,True
9,4,z_only,False,0.24042295585590923,0.76795104374531,12,False,False
9,4,full,False,0.23525661878797705,0.7715062038208835,12,False,False
9,5,pixel_only,True,0.07189920074648912,0.6172303001901993,16,True,True
9,5,rphi_only,True,0.07189498655197601,0.6140124872977608,16,True,True
9,5,z_only,False,0.36766628563041126,0.6575016397109792,11,False,False
9,5,full,False,,,0,False,False
9,6,pixel_only,True,0.07188297097242989,0.6631143725437443,16,True,True
9,6,rphi_only,True,0.07188455939333549,0.6597164015443322,16,True,True
9,6,z_only,False,0.32392321008559805,0.8713626569043469,12,False,False
9,6,full,False,0.324856392756527,0.8703933481848165,12,False,False
9,7,pixel_only,True,0.07184813686188439,0.6333262839849378,16,True,True
9,7,rphi_only,True,0.07184426305545652,0.6305280341276461,16,True,True
9,7,z_only,False,,,0,False,False
9,7,full,False,,,0,False,False
9,8,pixel_only,True,0.07189545667554867,0.5336925313900979,16,True,True
9,8,rphi_only,True,0.07189619885870278,0.5359408958635989,16,True,True
9,8,z_only,False,0.27060898296948227,0.8523568636307586,12,False,False
9,8,full,False,0.27073896901719413,0.8504031384764902,12,False,False
9,9,pixel_only,True,0.07186824625441596,0.4940554043780464,16,True,True
9,9,rphi_only,True,0.071868075596416,0.49165355525856336,16,True,True
9,9,z_only,False,0.2722874835591003,0.6509046537266379,13,False,False
9,9,full,False,0.2823695598295528,0.6488212721800662,13,False,False
9,10,pixel_only,True,0.07189870413528625,0.5723884826084998,16,True,True
9,10,rphi_only,True,0.07189937211584803,0.5755273771885793,16,True,True
9,10,z_only,False,0.26760220640360777,0.47549986624092677,11,False,False
9,10,full,False,0.2601738756090361,0.4764482401074365,11,False,False
9,11,pixel_only,True,0.07190136386372802,0.6158116768037407,16,True,True
9,11,rphi_only,True,0.07190151299207082,0.622098386182893,16,True,True
9,11,z_only,False,0.3317448572884054,0.7528513797060462,13,False,False
9,11,full,False,0.318727026020436,0.7766645308027482,12,False,False
9,12,pixel_only,True,0.07187914155022351,0.4548116223197397,16,True,True
9,12,rphi_only,True,0.07187813343661906,0.44883837876451466,16,True,True
9,12,z_only,False,0.28881836385087933,0.47307298756527,14,False,True
9,12,full,False,0.2863991992819862,0.46793195653643843,14,False,True
9,13,pixel_only,True,0.07190138469950684,0.6515339395912753,16,True,True
9,13,rphi_only,True,0.07190179335582685,0.6490829415417423,16,True,True
9,13,z_only,False,,,0,False,False
9,13,full,False,,,0,False,False
9,14,pixel_only,True,0.07190034314077187,0.6116871028039714,16,True,True
9,14,rphi_only,True,0.0719003923471835,0.5930607576976736,16,True,True
9,14,z_only,False,0.3315666817946189,0.6668401074774765,11,False,False
9,14,full,False,0.31856879865758503,0.6614997075347515,11,False,False
9,15,pixel_only,True,0.07188355809554992,0.5239861462132219,16,True,True
9,15,rphi_only,True,0.07188849953580843,0.5186462440592398,16,True,True
9,15,z_only,False,0.22711532493182604,0.7401282429159193,12,False,False
9,15,full,False,0.227598137090004,0.7356608377381394,12,False,False
10,0,pixel_only,True,0.07190465607054643,0.6252904166364244,16,True,True
10,0,rphi_only,True,0.07190457387593803,0.6271510374580144,16,True,True
10,0,z_only,False,,,0,False,False
10,0,full,False,,,0,False,False
10,1,pixel_only,True,0.07189199908424007,0.5098111679898344,16,True,True
10,1,rphi_only,True,0.07188881026598101,0.5020174195072673,16,True,True
10,1,z_only,False,0.23130712876001167,0.7257158789374899,12,False,False
10,1,full,False,0.23157831693188954,0.7248491402682069,12,False,False
10,2,pixel_only,True,0.07189871283523565,0.6628253663910119,16,True,True
10,2,rphi_only,True,0.07189666511359119,0.6563980396881434,16,True,True
10,2,z_only,False,,,0,False,False
10,2,full,False,,,0,False,False
10,3,pixel_only,True,0.07190185530537212,0.41995809945659174,16,True,True
10,3,rphi_only,True,0.0719022888852116,0.41955726227445617,16,True,True
10,3,z_only,False,0.25289977946616876,0.4827063003170875,13,False,False
10,3,full,False,0.250798134750851,0.48301869381528506,13,False,False
10,4,pixel_only,True,0.07189613461923168,0.7342546300395721,16,True,True
10,4,rphi_only,True,0.07189612822428156,0.747463720728085,16,True,True
10,4,z_only,False,,,0,False,False
10,4,full,False,,,0,False,False
10,5,pixel_only,True,0.07189920074648912,0.6172303001901993,16,True,True
10,5,rphi_only,True,0.07189852558284732,0.6162873876079455,16,True,True
10,5,z_only,False,0.3571719068525592,0.6337839369199343,12,False,False
10,5,full,False,0.368300938896951,0.48705601946859806,11,False,False
10,6,pixel_only,True,0.07188297097242989,0.6631143725437443,16,True,True
10,6,rphi_only,True,0.07187703994469358,0.6564456610020191,16,True,True
10,6,z_only,False,,,0,False,False
10,6,full,False,,,0,False,False
