trial,event,mode,direct_delta_s,direct_delta_w,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double
11,10,pixel_only,0.05172282739129061,0.7552221742710121,True,0.051722827391233434,0.7552221742710277,16,True,True
11,10,rphi_only,0.0517227793986833,0.7523653556163817,True,0.051722779398967765,0.752365355616366,16,True,True
11,10,z_only,0.6669780734971191,0.8722100890224501,False,0.3357206500464959,0.8368994383384369,9,False,False
11,10,full,0.6686962520008013,0.868417202304447,False,0.335583325954359,0.8280357338701025,9,False,False
11,11,pixel_only,0.05173958913355114,0.8122543034251503,True,0.05173958913313573,0.8122543034251412,16,True,True
11,11,rphi_only,0.051737259891408094,0.806942757847948,True,0.05173725989136583,0.806942757856966,16,True,True
11,11,z_only,0.8121752329630927,0.8944324675994496,False,,,0,False,False
11,11,full,0.8067696601364672,0.8945152365365071,False,,,0,False,False
11,12,pixel_only,0.05176603568572386,0.7851509783974986,True,0.051766035685507604,0.785150978392675,16,True,True
11,12,rphi_only,0.05176626757674454,0.7799322362905092,True,0.05176626757674454,0.7799322362905365,16,True,True
11,12,z_only,0.6133375226763209,0.8257153295526627,False,0.3026655323483245,1.0936217853224672,7,False,False
11,12,full,0.6093351231613113,0.8237306924250534,False,0.28239123081041123,1.094805313034981,7,False,False
11,13,pixel_only,0.05176559446735749,0.7929946613213913,True,0.051765594467093445,0.792994661321387,16,True,True
11,13,rphi_only,0.051765924207354236,0.7905076457109315,True,0.05176592420775551,0.7905076457109356,16,True,True
11,13,z_only,0.7855543478145668,0.9916065034379947,False,,,0,False,False
11,13,full,0.7839130379116366,0.9909202754187899,False,,,0,False,False
11,14,pixel_only,0.05173973081116609,0.628724180625421,True,0.051739730811837296,0.6287241806427255,16,True,True
11,14,rphi_only,0.051738282872542944,0.6278874037034355,True,0.051738282872871105,0.6278874037207411,16,True,True
11,14,z_only,0.6036495889679392,0.8454178269887923,False,0.204236160865489,0.8888518060706317,9,False,False
11,14,full,0.6016920651708662,0.8461908166190059,False,0.19440206015336076,0.8895422093337835,9,False,False
11,15,pixel_only,0.051776067747210656,0.6461309364136752,True,0.05177606774775461,0.6461309364136757,16,True,True
11,15,rphi_only,0.05177647304749558,0.6475811077633318,True,0.05177647304846836,0.6475811077703214,16,True,True
11,15,z_only,0.6174017128766557,0.6598601382435125,False,,,0,False,False
11,15,full,0.6237765408217439,0.6552703752817185,False,,,0,False,False
12,0,pixel_only,0.05177131597792917,1.6368286862176065,True,0.05177131597738019,1.6368286862176065,16,True,True
12,0,rphi_only,0.05177137780427175,1.6401781063344676,True,0.05177137780344827,1.6401781063344676,16,True,True
12,0,z_only,1.0920835317272872,1.6505899215620392,False,0.1974761789950939,1.219449089781504,13,False,False
12,0,full,1.0919138733717395,1.654024189243766,False,0.1963182589661466,1.2237154012351048,13,False,False
