trial,event,mode,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double,reason
9,13,rphi_only,True,0.051888256825576864,0.5904002987898714,16,True,True,pass
9,13,z_only,False,0.2431090002845675,1.0357381594952404,10,False,False,final_ds_fail
9,13,full,False,0.241140894369109,1.0355160889972048,10,False,False,final_ds_fail
9,14,pixel_only,True,0.05189583303098771,0.6942939430103836,16,True,True,pass
9,14,rphi_only,True,0.051895931078439476,0.7037067301537034,16,True,True,pass
9,14,z_only,False,,,0,False,False,seed_ds_fail
9,14,full,False,,,0,False,False,seed_ds_fail
9,15,pixel_only,True,0.05189434769169135,0.6116087866043028,16,True,True,pass
9,15,rphi_only,True,0.05189501444548989,0.6023052166875453,16,True,True,pass
9,15,z_only,False,0.2449073719039858,0.6915216346465923,11,False,False,final_ds_fail
9,15,full,False,0.2506782362436728,0.6863990734877095,11,False,False,final_ds_fail
10,0,pixel_only,True,0.05189235622167547,0.8965408911602595,16,True,True,pass
10,0,rphi_only,True,0.05189245782243804,0.9081961373843932,16,True,True,pass
10,0,z_only,False,,,0,False,False,seed_ds_fail
10,0,full,False,,,0,False,False,seed_ds_fail
10,1,pixel_only,True,0.05189364927196712,0.7249645659980073,16,True,True,pass
10,1,rphi_only,True,0.051894159693453366,0.7227132176540246,16,True,True,pass
10,1,z_only,False,0.23179209854626412,0.7061691253974054,14,True,False,final_ds_fail
10,1,full,False,0.23206613218553834,0.7006924977442492,14,True,False,final_ds_fail
10,2,pixel_only,True,0.05188484672837014,0.6045982117788054,16,True,True,pass
10,2,rphi_only,True,0.05188287091190854,0.596057338325852,16,True,True,pass
10,2,z_only,False,0.24827165305011295,1.032153131770269,9,False,False,final_ds_fail
10,2,full,False,0.24094831682855797,1.0319670232831044,9,False,False,final_ds_fail
10,3,pixel_only,True,0.0518939872365304,0.7271559025784697,16,True,True,pass
10,3,rphi_only,True,0.05189340487408508,0.7315171376370304,16,True,True,pass
10,3,z_only,False,,,0,False,False,seed_ds_fail
10,3,full,False,,,0,False,False,seed_ds_fail
10,4,pixel_only,True,0.05189530891803438,0.6351029895891872,16,True,True,pass
10,4,rphi_only,True,0.051895593365956026,0.6464884143541935,16,True,True,pass
10,4,z_only,False,0.25194735561311393,0.7941584498246489,9,False,False,final_ds_fail
10,4,full,False,0.2387230452163199,0.7951518390021691,9,False,False,final_ds_fail
10,5,pixel_only,True,0.05189570576292412,0.7272216742271052,16,True,True,pass
10,5,rphi_only,True,0.05189555920566813,0.7172882070069609,16,True,True,pass
10,5,z_only,False,,,0,False,False,seed_ds_fail
10,5,full,False,,,0,False,False,seed_ds_fail
10,6,pixel_only,True,0.051895467588989934,0.6079478329125448,16,True,True,pass
10,6,rphi_only,True,0.05189440841320368,0.5994714572873849,16,True,True,pass
10,6,z_only,False,0.2509532716348438,0.9928290679352264,10,False,False,final_ds_fail
10,6,full,False,0.2462648944176285,0.9899304599052287,10,False,False,final_ds_fail
10,7,pixel_only,True,0.051887508077080084,0.606896374174074,16,True,True,pass
10,7,rphi_only,True,0.05188398063063521,0.6058419274645286,16,True,True,pass
10,7,z_only,False,,,0,False,False,seed_ds_fail
10,7,full,False,0.3537265843141812,1.1044260936708363,11,False,False,final_ds_fail
10,8,pixel_only,True,0.05189539371020332,0.6743667984692865,16,True,True,pass
10,8,rphi_only,True,0.05189543006993596,0.675251977290049,16,True,True,pass
10,8,z_only,False,,,0,False,False,seed_ds_fail
10,8,full,False,,,0,False,False,seed_ds_fail
10,9,pixel_only,True,0.05189122613973578,0.5902107297413578,16,True,True,pass
10,9,rphi_only,True,0.05189196043828841,0.5850891685926581,16,True,True,pass
10,9,z_only,False,0.2789812757000701,0.7144397923456512,10,False,False,final_ds_fail
10,9,full,False,0.277839007892592,0.7145935343085104,10,False,False,final_ds_fail
10,10,pixel_only,True,0.0518965018054869,0.586877276633826,16,True,True,pass
10,10,rphi_only,True,0.05189664755568548,0.5827635263320126,16,True,True,pass
10,10,z_only,False,0.287507727444502,0.8985352481532969,11,False,False,final_ds_fail
10,10,full,False,0.28137685339826835,0.8999226751817894,11,False,False,final_ds_fail
10,11,pixel_only,True,0.051892409873463906,0.581682142651992,16,True,True,pass
10,11,rphi_only,True,0.05189268129804507,0.5849881753091793,16,True,True,pass
10,11,z_only,False,0.162467171042627,0.5872637061619939,14,True,False,final_ds_fail
10,11,full,False,0.16202266710927835,0.5912627079281817,14,True,False,final_ds_fail
10,12,pixel_only,True,0.051895686888812805,0.7868434159869027,16,True,True,pass
10,12,rphi_only,True,0.05189587062966375,0.7952689020441946,16,True,True,pass
10,12,z_only,False,0.2824127503322018,0.8899613565939429,10,False,False,final_ds_fail
10,12,full,False,0.2884495045446475,0.8941959934238134,10,False,False,final_ds_fail
10,13,pixel_only,True,0.05188916918132203,0.5892936843600265,16,True,True,pass
10,13,rphi_only,True,0.05189036130068443,0.5993553142541943,16,True,True,pass
10,13,z_only,False,0.3134275333478683,1.2967226607945357,10,False,False,final_ds_fail
10,13,full,False,0.31149483849973936,1.2970211205922253,10,False,False,final_ds_fail
